township#county#pop. (2010)#land ( sqmi )#water (sqmi)#latitude#longitude#geo id#ansi code
la moure#pembina#108#35.907#0.063#48.854886#- 97.894673#3806744580#1036734
ladd#bowman#15#36.028#0.007#45.981625#- 103.442141#3801143700#1037223
lake#cass#34#35.995#0.051#47.100943#- 97.638166#3801743780#1036392
lake george#mchenry#40#35.248#0.832#48.058477#- 100.420501#3804943820#1759495
lake hester#mchenry#45#35.673#0.289#48.058731#- 100.701650#3804943860#1759496
lake ibsen#benson#23#33.646#2.260#48.240571#- 99.386086#3800543900#1759247
lake town#barnes#39#34.549#1.002#47.204534#- 98.278848#3800343980#1036439
lake washington#eddy#27#31.803#4.121#47.703618#- 98.741656#3802744100#1759408
lake williams#kidder#22#31.272#4.549#47.116437#- 99.643918#3804344180#1037125
lake williams#mclean#59#32.401#3.166#47.547789#- 100.848907#3805544220#1759536
lakeview#burke#14#49.664#1.892#48.873809#- 102.059673#3801344020#1759324
lakeville#grand forks#69#35.475#0.475#48.070445#- 97.330478#3803544060#1036617
lakota#nelson#50#34.184#0.897#48.071798#- 98.390017#3806344340#1036579
lallie#benson#453#48.969#5.437#47.998210#- 99.148192#3800544420#1759248
lamars#richland#78#35.933#0.000#45.979085#- 96.701054#3807744500#1036813
lampton#walsh#106#35.636#0.040#48.506854#- 97.851202#3809944620#1036548
land#mchenry#37#34.361#0.406#47.898396#- 100.531606#3804944660#1759497
langberg#bowman#16#35.844#0.057#45.994086#- 103.679037#3801144740#1759312
langdon#cavalier#29#35.956#0.170#48.848503#- 98.409521#3801944820#2397824
lansford#bottineau#73#35.510#0.029#48.582135#- 101.375413#3800944940#2397825
lansing#towner#4#36.132#0.129#48.855345#- 99.077384#3809544980#1759655
larimore#grand forks#117#35.819#0.016#47.882955#- 97.698635#3803545060#1036612
lark#grant#46#35.998#0.000#46.414937#- 101.361735#3803745140#1037087
larrabee#foster#56#34.810#0.693#47.536768#- 98.808823#3803145180#1759425
latona#walsh#56#35.077#1.136#48.332263#- 98.087311#3809945260#1036531
lawton#ramsey#28#34.388#0.905#48.326338#- 98.336809#3807145340#2397826
layton#mchenry#29#35.969#0.078#48.503848#- 100.731160#3804945380#1759498
leaf mountain#burke#21#34.777#1.216#48.756803#- 102.754382#3801345420#1037110
lebanon#mchenry#79#35.496#0.616#48.058771#- 100.809781#3804945500#1759499
lee#nelson#42#35.801#0.168#47.715492#- 98.076194#3806345540#1036558
leeds#benson#91#35.704#0.653#48.328857#- 99.389494#3800545620#2397827
leipzig#grant#39#35.979#0.001#46.508641#- 101.850774#3803745820#1037083
lenora#griggs#60#34.788#0.457#47.629472#- 98.047760#3803945900#1036648
lenton#stutsman#64#36.175#0.018#46.763062#- 98.885230#3809345940#1036457
leonard#cass#108#35.229#0.000#46.673349#- 97.241088#3801746020#1036354
leval#nelson#29#31.777#4.092#47.889716#- 98.461717#3806346140#1036574
levant#grand forks#58#35.953#0.000#48.150883#- 97.319393#3803546180#1036623
lewis#bottineau#34#35.954#0.000#48.676017#- 101.124798#3800946260#1759282
liberty#mountrail#23#13.461#22.242#47.880243#- 102.297452#3806146340#1037043
