date#visitor#score#home#leading scorer#attendance#record
2 january 2008#hornets#w 95 - 81 (ot)#clippers#david west (29)#14965#21 - 11
4 january 2008#hornets#w 116 - 104 (ot)#warriors#two - way tie (24)#19596#22 - 11
5 january 2008#hornets#w 118 - 113 (ot)#suns#chris paul (28)#18422#23 - 11
9 january 2008#lakers#l 80 - 109 (ot)#hornets#chris paul (32)#15805#23 - 12
11 january 2008#heat#w 114 - 88 (ot)#hornets#bobby jackson (25)#17133#24 - 12
13 january 2008#hornets#w 87 - 82 (ot)#rockets#david west (26)#13599#25 - 12
16 january 2008#supersonics#w 123 - 92 (ot)#hornets#peja stojakovic (23)#12882#26 - 12
18 january 2008#bobcats#w 112 - 84 (ot)#hornets#david west (28)#14986#27 - 12
21 january 2008#bucks#w 106 - 92 (ot)#hornets#tyson chandler (20)#14663#28 - 12
23 january 2008#trail blazers#w 96 - 81 (ot)#hornets#jannero pargo (24)#16006#29 - 12
25 january 2008#clippers#w 111 - 92 (ot)#hornets#peja stojakovic (26)#16538#30 - 12
26 january 2008#hornets#w 102 - 78 (ot)#spurs#david west (32)#18797#31 - 12
28 january 2008#nuggets#w 117 - 93 (ot)#hornets#chris paul (23)#16601#32 - 12
30 january 2008#warriors#l 103 - 116 (ot)#hornets#chris paul (28)#17410#32 - 13
