#average population (x 1000)#live births#deaths#natural change#crude birth rate (per 1000)#crude death rate (per 1000)#natural change (per 1000)#fertility rates
1993#4 854#55 594#56 270#âˆ’676#11.5#11.6#âˆ’0.1#1.48
1994#4 862#57 311#50 516#6 795#11.8#10.4#1.4#1.52
1995#4 734#56 341#47 609#8 732#11.9#10.1#1.8#1.54
1996#4 616#55 000#47 136#7 864#11.9#10.2#1.7#1.55
1997#4 532#54 000#47 575#6 425#11.9#10.5#1.4#1.60
1998#4 487#51 526#47 321#4 205#11.5#10.5#0.9#1.41
1999#4 453#48 695#47 184#1 511#10.9#10.6#0.3#1.44
2000#4 418#48 800#47 410#1 390#11.0#10.7#0.3#1.51
2001#4 386#47 589#46 218#1 371#10.8#10.5#0.3#1.44
2002#4 357#46 605#46 446#159#10.7#10.7#0.0#1.42
2003#4 329#46 194#46 055#139#10.7#10.6#0.0#1.41
2004#4 318#49 572#48 793#779#11.5#11.3#0.2#1.55
2005#4 321#46 512#40 721#5 791#10.7#9.3#1.3#1.38
2006#4 401#47 795#42 255#5 540#10.8#9.6#1.2#1.44
2007#4 394#49 287#41 178#8 109#11.2#9.4#1.8#1.47
2008#4 382#56 565#43 011#13 554#12.9#9.8#3.1#1.66
2009#4 385#63 377#46 625#16 752#14.4#10.6#3.8#1.86
2010#4 436#62 585#47 864#14 721#14.1#10.8#3.3#1.83
2011#4 469#58 014#49 818#8 196#12.9#11.1#1.8#1.70
