round#date#home#result#visitor#venue#attendance
7#thursday , october 2#rögle bk#4–1#södertälje sk#lindab arena#4008
7#thursday , october 2#linköpings hc#3–2 (ot)#djurgårdens if#cloetta center#6778
7#thursday , october 2#modo hockey#4–3#timrå ik#swedbank arena#7410
7#thursday , october 2#skellefteå aik#3–0#färjestads bk#skellefteå kraft arena#5148
7#thursday , october 2#luleå hf#2–4#brynäs if#coop arena#3864
8#saturday , october 4#brynäs if#2–0#linköpings hc#läkerol arena#7287
8#saturday , october 4#timrå ik#4–5#rögle bk#e.on arena#5306
8#saturday , october 4#södertälje sk#4–3 (ot)#luleå hf#axa sports center#4077
8#saturday , october 4#färjestads bk#1–3#modo hockey#löfbergs lila arena#6131
20#saturday , october 4#hv71#3–2#djurgårdens if#kinnarps arena#6908
8#sunday , october 5#frölunda hc#2–1#skellefteå aik#scandinavium#11488
10#monday , october 6#linköpings hc#4–1#luleå hf#cloetta center#5611
2#tuesday , october 7#djurgårdens if#2–1#timrå ik#hovet#5828
9#thursday , october 9#luleå hf#8–2#frölunda hc#coop arena#4180
9#thursday , october 9#skellefteå aik#5–2#brynäs if#skellefteå kraft arena#5296
9#thursday , october 9#modo hockey#1–5#hv71#swedbank arena#6024
9#thursday , october 9#rögle bk#3–3#djurgårdens if#lindab arena#4973
9#thursday , october 9#södertälje sk#5–2#timrå ik#axa sports center#3219
9#thursday , october 9#färjestads bk#0–3#linköpings hc#löfbergs lila arena#5125
10#saturday , october 11#timrå ik#4–6#färjestads bk#e.on arena#4961
10#saturday , october 11#hv71#3–2 (ot)#rögle bk#kinnarps arena#7038
10#saturday , october 11#djurgårdens if#1–5#frölunda hc#hovet#6055
10#saturday , october 11#brynäs if#1–0#södertälje sk#läkerol arena#6578
10#saturday , october 11#skellefteå aik#4–2#modo hockey#skellefteå kraft arena#5820
11#monday , october 13#timrå ik#3–2 (ot)#skellefteå aik#e.on arena#4889
11#monday , october 13#södertälje sk#2–4#djurgårdens if#axa sports center#4611
11#monday , october 13#frölunda hc#1–1#brynäs if#scandinavium#11188
11#tuesday , october 14#färjestads bk#4–2#hv71#löfbergs lila arena#6023
11#tuesday , october 14#rögle bk#3–2#linköpings hc#lindab arena#4764
11#tuesday , october 14#modo hockey#3–2 (ot)#luleå hf#swedbank arena#5809
12#thursday , october 16#hv71#2–1 (ot)#timrå ik#kinnarps arena#6849
12#thursday , october 16#linköpings hc#4–0#färjestads bk#cloetta center#8040
12#thursday , october 16#djurgårdens if#2–1 (ot)#rögle bk#hovet#4679
12#thursday , october 16#brynäs if#5–1#skellefteå aik#läkerol arena#5197
12#thursday , october 16#modo hockey#3–2#frölunda hc#swedbank arena#5492
12#thursday , october 16#luleå hf#6–2#södertälje sk#coop arena#5340
13#saturday , october 18#skellefteå aik#4–1#luleå hf#skellefteå kraft arena#6001
13#saturday , october 18#frölunda hc#5–3#hv71#scandinavium#12044
13#saturday , october 18#färjestads bk#5–1#brynäs if#löfbergs lila arena#7144
13#saturday , october 18#södertälje sk#2–3 (ot)#modo hockey#axa sports center#3801
13#saturday , october 18#djurgårdens if#3–1#linköpings hc#hovet#5657
13#saturday , october 18#rögle bk#5–1#timrå ik#lindab arena#4837
14#tuesday , october 21#frölunda hc#2–2#färjestads bk#scandinavium#11715
8#tuesday , october 21#hv71#2–2#djurgårdens if#kinnarps arena#6987
14#thursday , october 23#hv71#6–3#södertälje sk#kinnarps arena#6851
14#thursday , october 23#rögle bk#1–2#skellefteå aik#lindab arena#4801
14#thursday , october 23#timrå ik#3–1#brynäs if#e.on arena#5540
14#thursday , october 23#modo hockey#3–5#linköpings hc#swedbank arena#5514
14#thursday , october 23#luleå hf#4–5 (ot)#djurgårdens if#coop arena#5501
15#saturday , october 25#färjestads bk#2–3#rögle bk#löfbergs lila arena#6788
15#saturday , october 25#södertälje sk#2–3#skellefteå aik#axa sports center#4515
15#saturday , october 25#hv71#2–5#modo hockey#kinnarps arena#7020
15#saturday , october 25#brynäs if#2–4#luleå hf#läkerol arena#8180
15#saturday , october 25#linköpings hc#2–3 (ot)#frölunda hc#cloetta center#8500
15#saturday , october 25#timrå ik#3–2 (ot)#djurgårdens if#e.on arena#5373
16#monday , october 27#linköpings hc#1–2 (ot)#hv71#cloetta center#8500
16#monday , october 27#luleå hf#1–0#färjestads bk#coop arena#5207
16#monday , october 27#rögle bk#6–3#frölunda hc#lindab arena#5040
16#tuesday , october 28#djurgårdens if#3–5#södertälje sk#hovet#7483
16#tuesday , october 28#skellefteå aik#3–4 (ot)#timrå ik#skellefteå kraft arena#5751
16#tuesday , october 28#modo hockey#6–0#brynäs if#swedbank arena#6506
17#thursday , october 30#färjestads bk#2–1#djurgårdens if#löfbergs lila arena#7652
17#thursday , october 30#södertälje sk#4–5 (ot)#linköpings hc#axa sports center#3855
17#thursday , october 30#frölunda hc#3–1#luleå hf#scandinavium#11537
17#thursday , october 30#brynäs if#1–2#rögle bk#läkerol arena#5801
17#thursday , october 30#skellefteå aik#5–1#hv71#skellefteå kraft arena#5665
17#thursday , october 30#timrå ik#0–4#modo hockey#e.on arena#6000
