season#league#teams#home#away
1945 - 46#oberliga süd (i)#tsv schwaben augsburg - bc augsburg#3 - 0#2 - 2
1946 - 47#oberliga süd#tsv schwaben augsburg - bc augsburg#1 - 1#1 - 0
1948 - 49#oberliga süd#tsv schwaben augsburg - bc augsburg#2 - 3#4 - 0
1949 - 50#oberliga süd#tsv schwaben augsburg - bc augsburg#1 - 1#0 - 3
1950 - 51#oberliga süd#tsv schwaben augsburg - bc augsburg#1 - 1#0 - 5
1954 - 55#oberliga süd#tsv schwaben augsburg - bc augsburg#1 - 4#1 - 2
1955 - 56#oberliga süd#tsv schwaben augsburg - bc augsburg#2 - 1#3 - 2
1956 - 57#oberliga süd#tsv schwaben augsburg - bc augsburg#5 - 2#1 - 3
1960 - 61#2nd oberliga süd (ii)#tsv schwaben augsburg - bc augsburg#0 - 3#0 - 1
1961 - 62#oberliga süd (i)#tsv schwaben augsburg - bc augsburg#2 - 0#1 - 0
1962 - 63#oberliga süd#tsv schwaben augsburg - bc augsburg#0 - 1#2 - 3
1963 - 64#regionalliga süd (ii)#tsv schwaben augsburg - bc augsburg#0 - 0#1 - 1
1966 - 67#regionalliga süd#tsv schwaben augsburg - bc augsburg#1 - 0#2 - 0
