division#drawn#lost#points#league pos
division four#13#18#43#20th
division four#14#15#48#10th
division four#17#9#57#3rd
division three#9#24#35#21st
division four#14#12#54#6th
division four#15#17#43#13th
division four#13#7#65#1st
division three#12#11#58#2nd
division two#16#14#40#12th
division two#16#12#44#8th
division two#6#19#40#13th
division two#9#20#48#14th
division two#12#17#51#12th
division two#12#26#24#22nd
division three#9#26#21#24th
division four#9#22#54#22nd
division four#11#10#62#11th
division four#13#17#61#15th
division four#12#14#68#8th
division four#10#15#73#6th
division three#11#10#86#1st
division two#17#10#74#5th
division two#9#18#66#10th
division two#15#20#48#20th
division three#12#20#54#16th
division three#11#17#65#10th
division three#18#14#60#16th
division three#12#11#81#2nd
division two#12#22#48#19th
division two#11#21#53#19th
division two#13#26#34#24th
division three#13#17#61#12th
division three#14#18#56#13th
league two#16#22#30#24th
conference#10#17#55#12th
conference#10#21#55#17th
conference#11#10#86#2nd
conference#14#8#86#2nd
conference#14#15#86#10th
conference#17#18#50#17th
conference#14#13#71#9th
conference#14#17#59#14th
