no#player#hometown#class#position#height#weight
10#larry bauer#springfield , illinois#so#forward#6 - 7#207
11#bob meadows#collinsville , illinois#so#guard#5 - 7#157
12#tal brody#trenton , new jersey / central high school#so#guard#6 - 2#165
14#john love#ottawa , illinois#jr#forward#6 - 3#199
22#jay lovelace#carbondale , illinois#sr#guard#6 - 0#164
25#bill burwell#brooklyn , new york / boys high school#sr#center#6 - 8#227
30#jeff ferguson#benton , illinois#sr#forward#6 - 3#195
31#tony latham#waukegan , illinois#so#guard#6 - 10#163
32#bill edwards#windsor , illinois#jr#guard#6 - 2#208
33#bogie redmon#collinsville , illinois#so#forward#6 - 5#218
34#bill mckeown#clinton , illinois#so#guard#6 - 2#185
35#skip thoren#rockford , illinois / rockford east high school#so#center#6 - 8#201
40#dave downey#canton , illinois#sr#forward#6 - 4#204
