position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#málaga cf#42#79#22#13#7#72#47#+ 25
2#atlético de madrid b 1#42#74#21#11#10#73#51#+ 22
3#cd numancia#42#73#21#10#11#68#40#+ 28
4#sevilla fc#42#71#20#11#11#66#50#+ 16
5#rayo vallecano#42#71#19#14#9#64#49#+ 15
6#ud las palmas#42#68#17#17#8#57#38#+ 19
7#cd toledo#42#65#18#11#13#54#49#+ 5
8#sd compostela#42#61#16#13#13#60#53#+ 7
9#sporting de gijón#42#59#16#11#15#47#47#0
10#cp mérida#42#59#15#14#13#48#41#+ 7
11#ue lleida#42#59#15#14#13#52#50#+ 2
12#recreativo de huelva#42#58#14#16#12#40#35#+ 5
13#ca osasuna#42#57#15#12#15#44#51#- 7
14#cd badajoz#42#51#12#15#15#35#39#- 4
15#albacete#42#50#12#14#16#38#43#- 5
16#cd logroñés#42#48#12#12#18#48#57#- 9
17#cd leganés#42#47#10#17#15#36#44#- 8
18#sd eibar#42#47#13#8#21#42#56#- 14
19#mallorca b#42#46#12#10#20#52#64#- 12
20#barcelona b#42#44#13#5#24#51#68#- 17
21#hércules cf#42#40#10#10#22#38#66#- 28
22#cd ourense#42#27#7#6#29#35#82#- 47
