club#position in 2012#first season#number of seasons#first season of current spell#titles#last title
aik#4th#1924 - 25#84#2006#5#2009
bk häcken#2nd#1983#12#2009#0#n / a
djurgårdens if#9th#1927 - 28#57#2001#7#2005
gefle if#11th#1933 - 34#12#2005#0#n / a
halmstads bk#3rd in superettan#1933 - 34#50#2013#4#2000
helsingborgs if#6th#1924 - 25#62#1993#7#2011
if brommapojkarna#2nd in superettan#2007#3#2013#0#n / a
if elfsborg#1st#1926 - 27#69#1997#6#2012
ifk göteborg#7th#1924 - 25#80#1977#13#2007
ifk norrköping#5th#1924 - 25#72#2011#12#1992
kalmar ff#10th#1949 - 50#25#2004#1#2008
malmö ff#3rd#1931 - 32#77#2001#19#2010
mjällby aif#12th#1980#6#2010#0#n / a
syrianska fc#13th#2011#2#2011#0#n / a
åtvidabergs ff#8th#1968#17#2012#2#1973
östers if#1st in superettan#1968#32#2013#4#1981
