name#pos#height#weight#2012 club
flóra bolonyai #gk#m ()#kg (lb)#usc trojans
dóra czigány #cf#m ()#kg (lb)#zf - eger
dóra antal #cf#m ()#kg (lb)#zf - eger
hanna kisteleki #cf#m ()#kg (lb)#bvsc ‐ zugló
gabriella szűcs #cf#m ()#kg (lb)#dunaújvárosi főiskola ve
orsolya takács #cb#m ()#kg (lb)#szentesi vizilabda klub
rita drávucz #d#m ()#kg (lb)#pro recco
rita keszthelyi #d#m ()#kg (lb)#szentesi vizilabda klub
ildikó tóth #cb#m ()#kg (lb)#bvsc ‐ zugló
barbara bujka #cb#m ()#kg (lb)#waterpolo fontalba messina
dóra csabai #cb#m ()#kg (lb)#bvsc ‐ zugló
katalin menczinger #cb#m ()#kg (lb)#dunaújvárosi főiskola ve
edina gangl #gk#m ()#kg (lb)#zf - eger
