year#us cham. rank#us cham. spending#next highest spender#next highest amount
2012#1#$136300 , 000#national assn of realtors#$41464 , 580
2011#1#$66370 , 000#general electric#$26340 , 000
2010#1#$157187 , 500#pg&e corp#$45510 , 000
2009#1#$144606 , 000#exxon mobil#$27430 , 000
2008#1#$91955 , 000#exxon mobil#$29000 , 000
2007#1#$53082 , 500#pharmaceutical rsrch & mfrs of america#$22733 , 400
2006#1#$72995 , 000#at&t inc#$27445 , 497
2005#1#$39805 , 000#aarp#$36302 , 064
2004#1#$53380 , 000#american medical assn#$18820 , 000
2003#1#$34602 , 640#aarp#$20880 , 000
2002#1#$41560 , 000#philip morris#$15200 , 000
