game#march#opponent#score#record#points
64#2#toronto maple leafs#2 - 2#41 - 15 - 8#90
65#3#new jersey devils#4 - 1#42 - 15 - 8#92
66#5#washington capitals#3 - 4#42 - 16 - 8#92
67#6#pittsburgh penguins#5 - 3#43 - 16 - 8#94
68#8#chicago black hawks#1 - 4#43 - 17 - 8#94
69#10#minnesota north stars#6 - 3#44 - 17 - 8#96
70#12#boston bruins#2 - 5#44 - 18 - 8#96
71#14#new york rangers#2 - 8#44 - 19 - 8#96
72#17#montreal canadiens#6 - 4#45 - 19 - 8#98
73#19#new york islanders#2 - 9#45 - 20 - 8#98
74#20#washington capitals#2 - 3#45 - 21 - 8#98
75#24#toronto maple leafs#7 - 4#46 - 21 - 8#100
76#25#new jersey devils#5 - 6#46 - 22 - 8#100
77#27#new jersey devils#4 - 1#47 - 22 - 8#102
78#31#new york rangers#2 - 4#47 - 23 - 8#102
