name#position#height#weight#date of birth#home team
thomas barker#midfield#179cm#76kg#10 apr 1985#sheffield steelers
myles bonnar#attack#183cm#80kg#6 nov 1987#stirling uni
jordan coffey#attack#182cm#83kg#2 apr 1987#ajax rock
stuart craig#midfield#190cm#82kg#20 mar 1987#wilmslow
nicholas duncan - price#midfield#180cm#80kg#21 sep 1979#university of bath
jesse fehr#attack#183cm#88kg#29 apr 1987#harvard university
douglas freeman#defence#188cm#99kg#6 jan 1983#ohio weselyan uni
dave gill#midfield#180cm#76kg#13 nov 1990#loughborough uni
ethan harris#goalie#171cm#78kg#20 apr 1981#umbc
brendan healy#midfield#180cm#81kg#8 apr 1984#maryland uni
ian healy#attack#170cm#82kg#12 jan 1981#maryland uni
dan heighway#attack#185cm#78kg#15 aug 1980#heaton mersey
richard heighway#midfield#180cm#77kg#19 may 1986#heaton mersey
robert hetherington#defence#190cm#94kg#23 nov 1987#stirling university
timo higgins#goalie#183cm#88kg#8 sep 1988#st. andrews uni
james huntington#midfield#188cm#82kg#1 oct 1986#stirling university
troy kachor#midfield#180cm#75kg#11 sep 1988#calgary mountaineers
malcolm kent#midfield#178cm#73kg#8 dec 1988#stirling university
tommy kirkland#defence#181cm#76kg#10 june 1991#timperley
conor mclaughlin#defence#175cm#73kg#20 june 1991#muhlenberg college
julian macmillan#midfield#175cm#84kg#20 apr 1987#saint leo uni
rory marsden#defence#192cm#89kg#5 dec 1981#stirling university
graham monaghan#attack#185cm#75kg#5 sep 1989#sussex uni
quentin morgan#lsm#153cm#77kg#13 apr 1988#st. andrews uni
chris paton#attack#175cm#94kg#18 oct 1987#glasgow uni
michael rushworth#defence#180cm#110kg#29 may 1988#aberdeen uni
james slade#midfield#180cm#81kg#18 may 1985#western ontario uni
