edition#round#date#against#surface#opponent#result
2004 davis cup europe / africa group ii#1r#9 - 11 april 2004#tunisia#hard#haithem abid#6 - 4 , 6 - 3 , 7 - 5
2004 davis cup europe / africa group ii#qf#16 - 18 july 2004#serbia and montenegro#clay#janko tipsarević#2 - 6 , 4 - 6 , 1 - 6
2004 davis cup europe / africa group ii#qf#16 - 18 july 2004#serbia and montenegro#clay#boris pašanski#7 - 6 (7 - 3) , 2 - 6 , 0 - 6
2005 davis cup europe / africa group ii#1r#4 - 6 march 2005#estonia#carpet#mait künnap#7 - 6 (9 - 7) , 6 - 4 , 6 - 2
2005 davis cup europe / africa group ii#qf#15 - 17 july 2005#algeria#clay#lamine ouahab#6 - 7 (2 - 7) , 4 - 6 , 3 - 6
2005 davis cup europe / africa group ii#qf#15 - 17 july 2005#algeria#clay#slimane saoudi#4 - 6 , 6 - 7 (5 - 7) , 6 - 0 , 6 - 2 , 6 - 2
2005 davis cup europe / africa group ii#sf#23 - 25 september 2005#slovenia#clay#bostjan osabnik#7 - 6 (7 - 3) , 6 - 1 , 6 - 1
2006 davis cup europe / africa group i#1r#10 - 12 february 2006#luxembourg#hard#gilles müller#2 - 6 , 1 - 6 4 - 6
2006 davis cup europe / africa group i#gi play - offs#22 - 24 september 2006#morocco#clay#mehdi tahiri#6 - 2 , 6 - 4 , 6 - 2
2006 davis cup europe / africa group i#gi play - offs#22 - 24 september 2006#morocco#clay#rabie chaki#1 - 6 , 7 - 5 , 6 - 1 , 7 - 6 (7 - 5)
2007 davis cup europe / africa group i#1r#9 - 11 february 2007#georgia#carpet#lado chikhladze#3 - 6 , 6 - 7 (2 - 7) , 7 - 6 (7 - 3) , 4 - 6
2007 davis cup europe / africa group i#gi play - offs#21 - 23 september 2007#netherlands#hard#raemon sluiter#2 - 6 , 1 - 6 , 3 - 6
2007 davis cup europe / africa group i#gi play - offs#21 - 23 september 2007#netherlands#hard#robin haase#3 - 6 , 4 - 6
2008 davis cup europe / africa group ii#1r#11 - 13 april 2008#tunisia#clay#malek jaziri#6 - 3 , 6 - 4 , 6 - 3
2008 davis cup europe / africa group ii#qf#18 - 20 july 2008#cyprus#clay#george kallis#6 - 1 , 6 - 1 , 6 - 0
2008 davis cup europe / africa group ii#qf#18 - 20 july 2008#cyprus#clay#photos kallias#6 - 3 , 6 - 2
2009 davis cup europe / africa group ii#1r#6 - 8 march 2009#cyprus#hard#photos kallias#6 - 0 , 6 - 2 , 6 - 1
2009 davis cup europe / africa group ii#1r#6 - 8 march 2009#cyprus#hard#marcos baghdatis#2 - 6 , 5 - 7 , 2 - 6
2009 davis cup europe / africa group ii#gi play - offs#10 - 12 july 2009#algeria#clay#abdel - hak hameurlaine#6 - 1 , 6 - 2 , 6 - 4
2010 davis cup europe / africa group ii#1r#5 - 7 march 2010#denmark#clay#martin pedersen#6 - 2 , 7 - 6 (9 - 7 , 3 - 6 , 6 - 3
2010 davis cup europe / africa group ii#qf#9 - 11 july 2010#cyprus#clay#philippos tsangaridis#6 - 0 , 6 - 1 , ret
2010 davis cup europe / africa group ii#sf#17 - 19 september 2010#bosnia and herzegovina#clay#amer delić#6 - 3 , 6 - 4 , 6 - 7 (14 - 16) , 3 - 6 , 9 - 7
2010 davis cup europe / africa group ii#sf#17 - 19 september 2010#bosnia and herzegovina#clay#aldin setkic#6 - 4 , 6 - 3 , 6 - 3
2011 davis cup europe / africa group i#1r#4 - 6 march 2011#slovakia#clay#lukáš lacko#6 - 2 , 6 - 2 , 6 - 1
2011 davis cup europe / africa group i#2r#8 - 10 july 2011#switzerland#carpet#stanislas wawrinka#5 - 7 , 3 - 6 , 4 - 6
2012 davis cup europe / africa group i#2r#6 - 8 april 2012#israel#hard#dudi sela#3 - 6 , 4 - 6 , 4 - 6
2012 davis cup europe / africa group i#2r#6 - 8 april 2012#israel#hard#amir weintraub#6 - 3 , 3 - 6 , 7 - 6 (7 - 3)
2013 davis cup europe / africa group ii#2r#5 - 7 april 2013#lithuania#clay#kasparas zemaitelis#6 - 1 , 6 - 3
