team 1#agg#team 2#1st leg#2nd leg
rangers#1 - 2#kaunas#0 - 0#1 - 2
brann#2 - 2 ( a )#ventspils#1 - 0#1 - 2
inter baku#1 - 3#partizan#1 - 1#0 - 2
tampere united#3 - 7#artmedia petržalka#1 - 3#2 - 4
anorthosis#4 - 3#rapid wien#3 - 0#1 - 3
domžale#2 - 6#dinamo zagreb#0 - 3#2 - 3
panathinaikos#3 - 0#dinamo tbilisi#3 - 0#0 - 0
ifk göteborg#3 - 5#basel#1 - 1#2 - 4
sheriff tiraspol#0 - 3#sparta prague#0 - 1#0 - 2
drogheda united#3 - 4#dynamo kyiv#1 - 2#2 - 2
anderlecht#3 - 4#bate borisov#1 - 2#2 - 2
beitar jerusalem#2 - 6#wisła kraków#2 - 1#0 - 5
fenerbahçe#7 - 0#mtk hungária#2 - 0#5 - 0
aalborg bk#7 - 1#modriča#5 - 0#2 - 1
