place#player#country#score#to par
1#ben hogan#united states#67 + 72 = 139#- 5
t2#george fazio#united states#70 + 71 = 141#- 3
t2#sam snead#united states#72 + 69 = 141#- 3
4#lloyd mangrum#united states#73 + 70 = 143#- 1
5#jay hebert#united states#72 + 72 = 144#e
6#dick metz#united states#75 + 70 = 145#+ 1
t7#al mengert#united states#75 + 71 = 146#+ 2
t7#frank souchak (a)#united states#70 + 76 = 146#+ 2
t9#jerry barber#united states#72 + 75 = 147#+ 3
t9#julius boros#united states#75 + 72 = 147#+ 3
t9#jimmy demaret#united states#71 + 76 = 147#+ 3
t9#fred haas#united states#74 + 73 = 147#+ 3
t9#marty furgol#united states#73 + 74 = 147#+ 3
t9#ted kroll#united states#76 + 71 = 147#+ 3
