date#result#score#venue#competition
09 - jan - 00#l#1–2#oakland , united states#friendly
12 - jan - 00#w#2–1#los angeles , united states#friendly
16 - jan - 00#d#1–1#pasadena , united states#friendly
04 - feb - 00#d#1–1#kuwait city , kuwait#friendly
22 - mar - 00#d#0–0#nicosia , cyprus#friendly
31 - mar - 00#w#8–0#aleppo , syria#2000 asian cup qualifier
02 - apr - 00#w#1–0#aleppo , syria#2000 asian cup qualifier
04 - apr - 00#l#0–1#aleppo , syria#2000 asian cup qualifier
09 - apr - 00#w#3–0#tehran , iran#2000 asian cup qualifier
11 - apr - 00#d#1–1#tehran , iran#2000 asian cup qualifier
13 - apr - 00#w#3–0#tehran , iran#2000 asian cup qualifier
24 - may - 00#w#3–0#amman , jordan#2000 waff championship
26 - may - 00#d#1–1#amman , jordan#2000 waff championship
28 - may - 00#w#1–0#amman , jordan#2000 waff championship
31 - may - 00#w#1–0#amman , jordan#2000 waff championship
02 - jun - 00#w#1–0#amman , jordan#2000 waff championship
07 - jun - 00#d#1–1#tehran , iran#2000 lg cup
09 - jun - 00#w#3–1#tehran , iran#2000 lg cup
16 - aug - 00#w#2–1#tehran , iran#friendly
01 - sep - 00#l#1–5#vienna , austria#friendly
27 - sep - 00#w#2–1#doha , qatar#friendly
12 - oct - 00#w#4–0#beirut , lebanon#2000 asian cup
15 - oct - 00#d#1–1#beirut , lebanon#2000 asian cup
18 - oct - 00#w#1–0#sidon , lebanon#2000 asian cup
23 - oct - 00#l#1–2#tripoli , lebanon#2000 asian cup
24 - nov - 00#w#19–0#tabriz , iran#2002 world cup qualifier
28 - nov - 00#w#2–0#tabriz , iran#2002 world cup qualifier
19 - jan - 01#w#4–0#tehran , iran#2001 civilization cup
24 - apr - 01#l#0–1#cairo , egypt#2001 lg cup
26 - apr - 01#l#0–1#cairo , egypt#2001 lg cup
22 - jul - 01#d#2–2#bihać , bosnia and herzegovina#friendly
01 - aug - 01#l#1–2#doha , qatar#friendly
08 - aug - 01#w#5–2#tehran , iran#2001 lg cup
10 - aug - 01#w#4–0#tehran , iran#2001 lg cup
15 - aug - 01#w#4–3#bratislava , slovakia#friendly
24 - aug - 01#w#2–0#tehran , iran#2002 world cup qualifier
01 - sep - 01#d#0–0#bangkok , thailand#2002 world cup qualifier
07 - sep - 01#w#2–1#baghdad , iraq#2002 world cup qualifier
14 - sep - 01#d#0–0#tehran , iran#2002 world cup qualifier
28 - sep - 01#d#2–2#jeddah , saudi arabia#2002 world cup qualifier
05 - oct - 01#w#1–0#tehran , iran#2002 world cup qualifier
12 - oct - 01#w#2–1#tehran , iran#2002 world cup qualifier
21 - oct - 01#l#1–3#riffa , bahrain#2002 world cup qualifier
25 - oct - 01#w#1–0#tehran , iran#2002 world cup qualifier
31 - oct - 01#w#3–0#abu dhabi , united arab emirates#2002 world cup qualifier
10 - nov - 01#l#0–2#dublin , republic of ireland#2002 world cup qualifier
15 - nov - 01#w#1–0#tehran , iran#2002 world cup qualifier
06 - feb - 02#l#2–3#tehran , iran#friendly
01 - mar - 02#w#1–0#casablanca , morocco#2002 lg cup
03 - mar - 02#d#0–0#casablanca , morocco#2002 lg cup
04 - apr - 02#d#2–2#kuwait city , kuwait#2002 west asian games
12 - apr - 02#d#0–0#kuwait city , kuwait#2002 west asian games
30 - may - 02#w#3–1#kuwait city , kuwait#friendly
10 - aug - 02#d#1–1#tabriz , iran#friendly
21 - aug - 02#w#1–0#kiev , ukraine#friendly
30 - aug - 02#l#0–1#damascus , syria#2002 waff championship
03 - sep - 02#w#2–0#damascus , syria#2002 waff championship
05 - sep - 02#d#0–0#damascus , syria#2002 waff championship
07 - sep - 02#d#2–2#damascus , syria#2002 waff championship
17 - sep - 02#d#1–1#tabriz , iran#2002 lg cup
19 - sep - 02#d#1–1#tabriz , iran#2002 lg cup
01 - feb - 03#w#1–0#hong kong#2003 carlsberg cup
04 - feb - 03#d#1–1#hong kong#2003 carlsberg cup
30 - may - 03#l#1–2#abuja , nigeria#2003 lg cup
13 - aug - 03#l#0–1#tehran , iran#2003 lg cup
15 - aug - 03#w#4–1#tehran , iran#2003 lg cup
20 - aug - 03#l#1–2#minsk , belarus#friendly
05 - sep - 03#w#4–1#tehran , iran#2004 asian cup qualifier
26 - sep - 03#l#2–3#amman , jordan#2004 asian cup qualifier
12 - oct - 03#w#3–0#tehran , iran#2004 afc / ofc challenge cup
27 - oct - 03#w#3–1#pyongyang , north korea#2004 asian cup qualifier
12 - nov - 03#w#3–0#tehran , iran#2004 asian cup qualifier
19 - nov - 03#w#3–0#beirut , lebanon#2004 asian cup qualifier
28 - nov - 03#w#1–0#tehran , iran#2004 asian cup qualifier
02 - dec - 03#l#1–3#kuwait city , kuwait#friendly
18 - feb - 04#w#3–1#tehran , iran#2006 world cup qualifier
31 - mar - 04#w#7–0#vientiane , laos#2006 world cup qualifier
09 - jun - 04#l#0–1#tehran , iran#2006 world cup qualifier
17 - jun - 04#w#4–0#tehran , iran#2004 waff championship
21 - jun - 04#w#7–1#tehran , iran#2004 waff championship
23 - jun - 04#w#2–1#tehran , iran#2004 waff championship
25 - jun - 04#w#4–1#tehran , iran#2004 waff championship
20 - jul - 04#w#3–0#chongqing , china#2004 asian cup
24 - jul - 04#d#2–2#chongqing , china#2004 asian cup
28 - jul - 04#d#0–0#chongqing , china#2004 asian cup
31 - jul - 04#w#4–3#jinan , china#2004 asian cup
03 - aug - 04#d#1–1#beijing , china#2004 asian cup
06 - aug - 04#w#4–2#beijing , china#2004 asian cup
08 - sep - 04#w#2–0#amman , jordan#2006 world cup qualifier
09 - oct - 04#l#0–2#tehran , iran#friendly
13 - oct - 04#w#3–2#doha , qatar#2006 world cup qualifier
17 - nov - 04#w#7–0#tehran , iran#2006 world cup qualifier
18 - dec - 04#w#1–0#tehran , iran#friendly
02 - feb - 05#w#2–1#tehran , iran#friendly
09 - feb - 05#d#0–0#riffa , bahrain#2006 world cup qualifier
25 - mar - 05#w#2–1#tehran , iran#2006 world cup qualifier
30 - mar - 05#w#2–0#pyongyang , north korea#2006 world cup qualifier
29 - may - 05#w#2–1#tehran , iran#friendly
03 - jun - 05#w#1–0#tehran , iran#2006 world cup qualifier
08 - jun - 05#w#1–0#tehran , iran#2006 world cup qualifier
17 - aug - 05#l#1–2#yokohama , japan#2006 world cup qualifier
24 - aug - 05#w#4–0#tehran , iran#friendly
12 - oct - 05#l#0–2#seoul , south korea#friendly
11 - nov - 05#w#2–0#tehran , iran#friendly
22 - feb - 06#w#4–0#tehran , iran#2007 asian cup qualifier
01 - mar - 06#w#3–2#tehran , iran#friendly
28 - may - 06#d#2–2#osijek , croatia#friendly
31 - may - 06#w#5–2#tehran , iran#friendly
11 - jun - 06#l#1–3#nuremberg , germany#2006 world cup
17 - jun - 06#l#0–2#frankfurt , germany#2006 world cup
21 - jun - 06#d#1–1#leipzig , germany#2006 world cup
08 - aug - 06#w#1–0#tehran , iran#friendly
16 - aug - 06#d#1–1#tehran , iran#2007 asian cup qualifier
02 - sep - 06#d#1–1#seoul , south korea#2007 asian cup qualifier
06 - sep - 06#w#2–0#damascus , syria#2007 asian cup qualifier
04 - oct - 06#w#2–0#amman , jordan#2006 lg cup
06 - oct - 06#d#0–0#amman , jordan#2006 lg cup
11 - oct - 06#w#2–0#taipei , republic of china#2007 asian cup qualifier
15 - nov - 06#w#2–0#tehran , iran#2007 asian cup qualifier
12 - jan - 07#w#2–0#abu dhabi , united arab emirates#friendly
07 - feb - 07#d#2–2#tehran , iran#friendly
24 - mar - 07#w#1–0#doha , qatar#friendly
02 - jun - 07#l#0–4#san luis potosí , mexico#friendly
16 - jun - 07#d#0–0#amman , jordan#2007 waff championship
