player#bundesliga#dfb - pokal#uefa intertoto cup#uefa cup#dfb - ligapokal#total
christian giménez#12#2#0#1#0#15
marko pantelic#14#0#1#0#0#15
gilberto#5#0#0#0#0#5
yıldıray baştürk#1#2#1#0#0#4
pal dardai#3#0#0#0#0#3
kevin - prince boateng#2#0#0#1#0#3
arne friedrich#2#0#0#0#0#2
dick van burik#2#0#0#0#0#2
patrick ebert#2#0#0#0#0#2
malik fathi#1#1#0#0#0#2
solomon okoronkwo#0#1#0#1#0#2
chinedu ede#1#0#0#0#0#1
zecke#1#0#0#0#0#1
ashkan dejagah#1#0#0#0#0#1
mineiro#1#0#0#0#0#1
andreas schmidt#1#0#0#0#0#1
