name#location#elevation + height#delivery#purpose#yield
izzer#nts area u9bp##underground shaft#weapons development#less than 20 kt
pongee#nts area u2ah##underground shaft#weapons development#less than 20 kt
bronze#nts area u7f##underground shaft#weapons development#67 kt
mauve#nts area u3dp##underground shaft#weapons development#18 kt
ticking#nts area u9bj##underground shaft#weapons development#250 t
centaur#nts area u2ak##underground shaft#weapons development#1 kt
moa1 (with screamer)#nts area u3ed##underground shaft#weapons development#2.5 kt
screamer2 (with moa)#nts area u3dg##underground shaft#weapon effect#9 kt
elkhart#nts area u9bs##underground shaft#weapons development#6 kt
long shot#amichitka island , alaska##underground shaft#joint verification#80 kt
sepia#nts area u3en##underground shaft#weapons development#7 kt
kermet#nts area u2c##underground shaft#weapons development#500 t
corduroy#nts area u10k##underground shaft#weapons development#120 kt
emerson#nts area u2al##underground shaft#weapons development#3 kt
buff#nts area u3dh##underground shaft#weapons development#51 kt
maxwell#nts area u9br##underground shaft#weapons development#less than 20 kt
lampblack#nts area u7i##underground shaft#weapons development#38 kt
sienna#nts area u3cj##underground shaft#weapons development#4 kt
dovekie#nts area u3cd##underground shaft#weapons development#7 kt
reo#nts area u10 m##underground shaft#weapons development#150 t
plaid 2#nts area u2r##underground shaft#weapons development#3.5 kt
rex#nts area u20h (e)##underground shaft#weapons development#19 kt
red hot#nts area u12 g.06##underground tunnel#weapon effect#2 kt
cinnamon2 (with finfoot)#nts area u3dm##underground shaft#safety experiment#less than 20 kt
finfoot1 (with cinnamon)#nts area u3du##underground shaft#weapons development#5 kt
clymer#nts area u9ce##underground shaft#weapons development#3 kt
purple#nts area u3ds##underground shaft#weapons development#7 kt
templar#nts area u9bt##underground shaft#peaceful research#370 t
lime#nts area u7j##underground shaft#weapons development#less than 20 kt
stutz#nts area u2ca##underground shaft#weapons development#5 kt
tomato#nts area u3ek##underground shaft#weapons development#6 kt
duryea#nts area u20a1##underground shaft#weapons development#70 kt
fenton#nts area u2 m1##underground shaft#weapons development#1.4 kt
pin stripe#nts area u11b##underground shaft#weapon effect#5 kt
ochre#nts area u3ec##underground shaft#safety experiment#less than 20 kt
traveler#nts area u2cd##underground shaft#weapons development#20 kt
cyclamen#nts area u3cx##underground shaft#weapons development#12 kt
chartreuse#nts area u19d##underground shaft#weapons development#73 kt
tapestry#nts area u2an##underground shaft#weapons development#10 kt
piranha#nts area u7e##underground shaft#weapons development#120 kt
dumont#nts area u2t##underground shaft#weapons development#200 kt
discus thrower#nts area u8a##underground shaft#weapon effect#22 kt
pile driver#nts area u15a.01##underground shaft#weapon effect#62 kt
tan#nts area u7k##underground shaft#weapons development#160 kt
puce#nts area u3bs##underground shaft#weapons development#less than 20 kt
double play#nts area u16a.03##underground shaft#weapon effect#less than 20 kt
kankakee#nts area u10p##underground shaft#weapons development#200 kt
vulcan#nts area u2bd##underground shaft#peaceful research#25 kt
halfbeak#nts area u19b##underground shaft#weapons development#365 kt
