place#title#platform#publisher#units sold
1#monster hunter portable 2nd g#psp#capcom#2452 , 111
2#pokémon platinum#nds#pokémon company#2187 , 337
3#wii fit#wii#nintendo#2149 , 131
4#mario kart wii#wii#nintendo#2003 , 315
5#super smash bros. brawl#wii#nintendo#1747 , 113
6#rhythm heaven#nds#nintendo#1350 , 671
7#dragon quest v : hand of the heavenly bride#nds#square enix#1176 , 082
8#animal crossing : city folk#wii#nintendo#895302
9#kirby super star ultra#nds#nintendo#855427
10#wii sports#wii#nintendo#841736
