game#date#team#score#high points#high assists#location attendance#record
62#march 3#indiana#l 109 - 117 (ot)#kevin martin (21)#bobby jackson (5)#arco arena 10748#13 - 49
63#march 8#denver#w 114 - 106 (ot)#kevin martin (26)#kevin martin (8)#arco arena 12678#14 - 49
64#march 10#oklahoma city#l 98 - 99 (ot)#spencer hawes (20)#bobby jackson (6)#arco arena 10784#14 - 50
65#march 13#cleveland#l 123 - 126 (ot)#kevin martin (34)#spencer hawes (4)#arco arena 16317#14 - 51
66#march 15#washington#l 104 - 106 (ot)#kevin martin (24)#beno udrih (7)#verizon center 15108#14 - 52
67#march 17#atlanta#l 97 - 119 (ot)#kevin martin (31)#beno udrih (6)#philips arena 14226#14 - 53
68#march 18#charlotte#l 88 - 104 (ot)#rashad mccants (30)#beno udrih (6)#time warner cable arena 13594#14 - 54
69#march 20#new york#w 121 - 94 (ot)#kevin martin (30)#beno udrih (7)#madison square garden 19763#15 - 54
70#march 22#philadelphia#l 100 - 112 (ot)#francisco garcía (24)#spencer hawes (9)#arco arena 12943#15 - 55
71#march 27#memphis#l 95 - 113 (ot)#kevin martin (31)#beno udrih (5)#arco arena 12987#15 - 56
72#march 29#phoenix#w 126 - 118 (ot)#jason thompson (21)#beno udrih (7)#arco arena 13623#16 - 56
73#march 31#new orleans#l 110 - 111 (ot)#andrés nocioni (23)#beno udrih (6)#arco arena 17317#16 - 57
