location#date#denomination#coinage metal#mintage#km number
fribourg#1934#00005 5 francs#silver#40650#s18
fribourg#1934#00100 100 francs#gold#2000#s19
lucerne#1939#00005 5 francs#silver#40000#s20
lucerne#1939#00100 100 francs#gold#6000#s21
oberhasli#1984#00050 50 francs#silver#6300#s22
oberhasli#1984#01000 1000 francs#gold#300#s23
altdorf#1985#00050 50 francs#silver#3500#s24
altdorf#1985#01000 1000 francs#gold#300#s25
appenzell#1986#00050 50 francs#silver#3700#s26
appenzell#1986#01000 1000 francs#gold#300#s27
glarus#1987#00050 50 francs#silver#3200#s28
glarus#1987#01000 1000 francs#gold#300#s29
brugg#1988#00050 50 francs#silver#3000#s30
brugg#1988#01000 1000 francs#gold#400#s31
menzingen#1989#00050 50 francs#silver#2200#s32
menzingen#1989#01000 1000 francs#gold#250#s33
winterthur#1990#00050 50 francs#silver#5000#s34
winterthur#1990#01000 1000 francs#gold#250#s35
langenthal#1991#00050 50 francs#silver#4000#s38
langenthal#1991#01000 1000 francs#gold#400#s39
dielsdorf#1992#00050 50 francs#silver#1750#s40
dielsdorf#1992#01000 1000 francs#gold#175#s41
weinfelden#1993#00050 50 francs#silver#2200#s42
weinfelden#1993#01000 1000 francs#gold#200#s43
rorschach#1994#00050 50 francs#silver#2200#s44
rorscach#1994#01000 1000 francs#gold#200#s45
thun#1995#00050 50 francs#silver#5000#s46
thun#1995#00500 500 francs#gold#500#s47
sempach#1996#00050 50 francs#silver#1500#s48
sempach#1996#00500 500 francs#gold#96#s49
neuhausen am rheinfall#1997#00050 50 francs#silver#1500#s50
neuhausen am rheinfall#1997#00500 500 francs#gold#97#s51
schwyz#1998#00050 50 francs#silver#1500#s52
schwyz#1998#00500 500 francs#gold#98#s53
zürich#1999#00005 5 francs#copper - nickel#2000#s54
zürich#1999#00020 20 francs#silver#10000#s55
sion#1999#00050 50 francs#silver#1500#s57
zürich#1999#00200 200 francs#gold#100#s56
sion#1999#00500 500 francs#gold#99#s58
bière#2000#00050 50 francs#silver#3500#s59
bière#2000#00500 500 francs#gold#300#s60
altdorf , uri#2001#00050 50 francs#silver#1500#s61
altdorf , uri#2001#00500 500 francs#gold#150#s62
zürich#2002#00050 50 francs#silver#1500#s63
zürich#2002#00500 500 francs#gold#150#s64
liestal#2003#00050 50 francs#silver#1500#s65
liestal#2003#00500 500 francs#gold#150#s66
fribourg#2004#00050 50 francs#silver#1500#s67
fribourg#2004#00500 500 francs#gold#150#s68
brusio#2005#00050 50 francs#silver#1500#s69
brusio#2005#00500 500 francs#gold#150#s70
solothurn#2006#00050 50 francs#silver#2000#s71
solothurn#2006#00500 500 francs#gold#200#s72
lucerne#2007#00050 50 francs#silver#2000#s73
lucerne#2007#00500 500 francs#gold#200#s74
geneva#2008#00050 50 francs#silver#1500#s75
geneva#2008#00500 500 francs#gold#150#s76
obwalden#2009#00050 50 francs#silver#1500#s77
obwalden#2009#00500 500 francs#gold#175#s78
aarau#2010#00050 50 francs#silver#2000#s79
