date#opponent#result#score#record#streak
sun , jan 2 , 1972#boston celtics#win#122–113#37–3#won 31
wed , jan 5 , 1972# cleveland cavaliers#win#113–103#38–3#won 32
fri , jan 7 , 1972# atlanta hawks#win#134–90#39–3#won 33
sun , jan 9 , 1972# milwaukee bucks#loss#104–120#39–4#lost 1
tue , jan 11 , 1972# detroit pistons#win#123–103#40–4#won 1
wed , jan 12 , 1972# cincinnati royals#loss#107–108#40–5#lost 1
fri , jan 14 , 1972# philadelphia 76ers#win#135–121#41–5#won 1
fri , jan 21 , 1972#new york knicks#loss#101–104#41–6#lost 1
sat , jan 22 , 1972# phoenix suns#loss#102–116#41–7#lost 2
tue , jan 25 , 1972#phoenix suns#win#129–119#42–7#won 1
fri , jan 28 , 1972#houston rockets#win#118–105#43–7#won 2
sun , jan 30 , 1972#portland trail blazers#win#153–131#44–7#won 3
