name#latitude#longitude#diameter#year named
akitu sulcus#38.9n#194.3w#365.0#1997
anshar sulcus#18.0n#197.9w#1372.0#1979
apsu sulci#39.4s#234.7w#1950.0#1979
aquarius sulcus#52.4n#3.9w#1420.0#1979
arbela sulcus#21.1s#349.8w#1940.0#1985
bubastis sulci#72.3s#282.9w#2651.0#1988
byblus sulcus#37.9n#199.9w#645.0#1997
dardanus sulcus#46.9s#17.5w#2988.0#1979
dukug sulcus#83.5n#3.8w#385.0#1985
elam sulci#58.2n#200.3w#1855.0#1985
erech sulcus#7.3s#179.2w#953.0#1985
harpagia sulcus#11.7s#318.7w#1792.0#1985
hursag sulcus#9.7s#233.1w#750.0#1985
kishar sulcus#6.4s#216.6w#1187.0#1979
lagash sulcus#10.9s#163.2w#1575.0#1985
larsa sulcus#3.8n#248.7w#1000.0#2000
mashu sulcus#29.8n#205.7w#2960.0#1979
mysia sulci#7.0s#7.9w#5066.0#1979
nineveh sulcus#23.5n#53.1w#1700.0#1997
nippur sulcus#36.9n#185.0w#1425.0#1985
nun sulci#49.5n#316.4w#1500.0#1979
philae sulcus#65.5n#169.0w#900.0#1997
philus sulcus#44.1n#209.5w#465.0#1979
phrygia sulcus#12.4n#23.5w#3700.0#1979
shuruppak sulcus#19.3s#232.2w#2800.0#2000
sicyon sulcus#32.7n#18.5w#2125.0#1979
sippar sulcus#15.4s#189.3w#1508.0#1985
tiamat sulcus#3.4n#208.5w#1330.0#1979
umma sulcus#4.1n#250.0w#1270.0#2000
ur sulcus#49.8n#177.5w#1145.0#1985
uruk sulcus#0.8n#160.3w#2200.0#1979
xibalba sulcus#43.8n#71.1w#2200.0#1997
