congress#bill number#date introduced#sponsor# of cosponsors
107th congress#h.r. 1343#april 3 , 2001#rep. john conyers (d - mi)#208
107th congress#s. 625#march 27 , 2001#sen. ted kennedy (d - ma)#50
108th congress#h.r. 4204#april 22 , 2004#rep. john conyers (d - mi)#178
108th congress#s.amdt. 3183 to s. 2400#june 14 , 2004#sen. gordon h. smith (r - or)#4
109th congress#h.r. 2662#may 26 , 2005#rep. john conyers (d - mi)#159
109th congress#s. 1145#may 26 , 2005#sen. ted kennedy (d - ma)#45
110th congress#h.r. 1592#march 30 , 2007#rep. john conyers (d - mi)#171
110th congress#s. 1105#april 12 , 2007#sen. ted kennedy (d - ma)#44
111th congress#h.r. 1913#april 2 , 2009#rep. john conyers (d - mi)#120
111th congress#s. 909#april 28 , 2009#sen. ted kennedy (d - ma)#45
111th congress#s.amdt. 1511 to s. 1390#july 15 , 2009#sen. patrick leahy (d - vt)#37
