province#total#hindu#% hindu 2010#% hindu 2000
indonesia#237641 , 326#4012 , 116#1.69%#1.79%
aceh#4494 , 410#136#0.00%#0.01%
sumatera utara#12982 , 204#14644#0.11%#0.17%
sumatera barat#4846 , 909#234#0.00%#0.00%
riau#5538 , 367#1076#0.02%#0.09%
jambi#3092 , 265#582#0.02%#0.02%
sumatera selatan#7450 , 394#39206#0.53%#0.26%
bengkulu#1715 , 518#3727#0.22%#0.15%
lampung#7608 , 405#113512#1.49%#1.44%
kep. bangka belitung#1223 , 296#1040#0.09%#0.01%
kepulauan riau#1679 , 163#1541#0.09%#0.37%
dki jakarta#9607 , 787#20364#0.21%#0.23%
jawa barat#43053 , 732#19481#0.05%#0.02%
jawa tengah#32382 , 657#17448#0.05%#0.09%
di yogyakarta#3457 , 491#5257#0.15%#0.09%
jawa timur#37476 , 757#112177#0.30%#0.27%
banten#10632 , 166#8189#0.08%#0.07%
bali#3890 , 757#3247 , 283#83.46%#88.05%
nusa tenggara barat#4500 , 212#118083#2.62%#3.03%
nusa tenggara timur#4683 , 827#5210#0.11%#0.15%
kalimantan barat#4395 , 983#2708#0.06%#0.08%
kalimantan tengah#2212 , 089#11149#0.50%#5.89%
kalimantan selatan#3626 , 616#16064#0.44%#0.21%
kalimantan timur#3553 , 143#7657#0.22%#0.13%
sulawesi utara#2270 , 596#13133#0.58%#0.56%
sulawesi tengah#2635 , 009#99579#3.78%#4.84%
sulawesi selatan#8034 , 776#58393#0.73%#1.13%
sulawesi tenggara#2232 , 586#45441#2.04%#2.97%
gorontalo#1040 , 164#3612#0.35%#0.00%
sulawesi barat#1158 , 651#16042#1.38%#1.88%
maluku#1533 , 506#5669#0.37%#na
maluku utara#1038 , 087#200#0.02%#0.02%
papua barat#760422#859#0.11%#0.68%
papua#2833 , 381#2420#0.09%#0.16%
