call letters#market#frequency#aor years#current format
kzrr#albuquerque , nm#94.1 fm#1980–present#aor
kfmg#albuquerque , nm#107.9 fm#1979–1991#country as kbqi
kgra#lake charles , la#103.7 fm#1975–1984#top 40 as kbiu
wzzo#allentown , pa#95.1 fm#1975–present#aor
kacc#alvin , tx#89.7 fm#1979–present#station of alvin community college
wkls#atlanta , ga#96.1 fm#1974–2003#chr as wwpw
klbj - fm#austin , tx#93.7 fm#1973–present#classic rock
waaf#boston , ma#107.3 fm#1969–1989#active rock
wbcn#boston , ma#104.1 fm#1968–1995#hot adult contemporary as wbmx
wlbj#bowling green , ky#96.7 fm#1974–1980#country as wbvr
wgrq#buffalo , ny#96.9 fm#1975–1985#classic rock as wgrf
wroq#charlotte , nc#95.1 fm#1970 s–1984#chr as wnks
wdai#chicago , il#94.7 fm#1972–1978#oldies as wls - fm
wlup - fm#chicago , il#97.9 fm#1977–present#classic rock
wmet#chicago , il#95½ fm#1976–1986#spanish pop as wnua
webn#cincinnati , oh#102.7 fm#1967–present#aor
wmms#cleveland , oh#100.7 fm#1968–1994#active rock
wwwm#cleveland , oh#105.7 fm#1975–1982#classic hits as wmji
wlvq#columbus , oh#96.3 fm#1977–present#aor
kzew#dallas , tx#97.9 fm#1973 - 1989#rhythmic contemporary as kbfb
knus#dallas , tx#98.7 fm#1966 - 1971#classic hits as kluv
wtue#dayton , oh#104.7 fm#1975–present#aor
kggo#des moines , ia#94.9 fm#1978 - 199x#classic rock
wllz#detroit , mi#98.7 fm#1980–1995#top 40 (chr) as wdzh
wrif#detroit , mi#101.1 fm#1971 - c.1994#active rock
ktxq#fort worth , tx#102.1 fm#1978 - 1998#alternative rock as kdge
klol#houston , tx#101.1 fm#1970–2006#spanish pop
ksrr#houston , tx#96.5 fm#1980–1986#adult top 40 as khmx
wnik#indianapolis , in#online#1960–present#rock
kkrq#iowa city , ia#100.7 fm#197x - 199x#classic rock
kyys#kansas city , mo#102.1 fm / 99.7 fm#1974–1997 , 1997–2008#classic rock
komp#las vegas , nv#92.3 fm#1981–present#active rock
wzzq#jackson , ms#102.9#1968–1981#country as wmsi - fm
wkqq#lexington , ky#98.1 fm#1974–1998#active rock on 100.1 fm
ksmb#lafayette , la#94.5 fm#1973–1984#chr / top - 40
klos#los angeles , ca#95.5 fm#1969–present#classic rock
knac#los angeles , ca#105.5 fm#1986–1995#spanish as kbue
kmet#los angeles , ca#94.7 fm#1968–1987#smooth jazz as ktwv
kswd#los angeles , ca#100.3 fm#2008–present#classic rock
wmad#sun prairie , wi (madison , wi)#92.1 fm#1977–1979#talk radio as wxxm
wmc - fm#memphis , tn#99.7 fm#circa 1969 - circa 1981#hot adult contemporary
wrno - fm#metairie , la ( new orleans )#99.5 fm#1968–1997#talk radio
kqrs - fm#minneapolis , mn#92.5 fm#1968–present#classic rock
wxlp#moline , il / quad cities#96.9 fm#1978 - 2004#classic rock
wdha#morristown , nj#105.5 fm#1979–present#aor
wkdf#nashville , tn#103.3 fm#1970–1999#country
wnew - fm#new york , ny#102.7 fm#1967–1995#adult contemporary as wwfs
wplj#new york , ny#95.5 fm#1971–1983#hot adult contemporary
wvok - fm#oxford , al ( birmingham )#99.5 fm#1977–1983#classic rock as wzrr
wmmr#philadelphia , pa#93.3 fm#1968–present#active rock
wdve#pittsburgh , pa#102.5 fm#1969–present#aor / classic rock
kdkb#phoenix , az#93.3 fm#1971–present#aor
kgon#portland , or#92.3 fm#1974–1990#classic rock
whjy#providence , rhode island#94.1 fm#1981–present#aor
wqdr - fm#raleigh , nc#94.7 fm#1973–1984#country
wrbk - fm#new bern , nc#101.9 fm#1976 - 1979#urban contemporary as kiss 102
wqbk - fm#rensselaer , ny#103.9 fm#1972–present#aor
wyfe - fm#rockford - winnebago , il#95.3 fm#1976 - 1980#adult hits as bob fm wrtb
wqrt#salamanca , ny#98.3 fm#1988 - present#classic aor as wqrs
ksan#san francisco , ca ( bay area )#94.9 fm#1968–1980 , 1997–present#mainstream rock on 107.7 fm
kmel#san francisco , ca ( bay area )#106.1 fm#1977–1984#urban contemporary
krqr#san francisco , ca ( bay area )#97.3 fm#1982–1995#adult top 40 as kllc
kfog#san francisco , ca ( bay area )#104.5 fm#1982–present#adult album alternative
ksjo#san jose , ca ( bay area )#92.3 fm#1968–2004#chinese
kome#san jose , ca ( bay area )#98.5 fm#1971–1994 , 1997–present#classic rock as kufx
kisw#seattle , wa#99.9 fm#1971–2000#active rock / talk
kxrx#seattle , wa#96.5 fm#1987–1994#jack fm as kjaq
kzok#seattle , wa#102.5 fm#1974–1986#classic rock
kol - fm#seattle , wa#94.1 fm#1968–1973#country as kmps
keze#spokane , wa#105.7 fm#1973–1996#top 40 as kzbd
kwk - fm#st. louis , mo#106.5 fm#1979–1984#adult hits as warh
kshe#st. louis , mo#94.7 fm#1967–present#aor
kwfm#tucson , az#92.9 fm#1970–1983#adult album alternative as kmiy
wour#utica , ny#96.9 fm#1969–present#classic rock
kict - fm#wichita , ks#95.1 fm#1975–present#aor
