date#visitor#score#home#record
october 13#chicago black hawks#0–4#montreal canadiens#0–1–0
october 15#chicago black hawks#4–4#toronto maple leafs#0–1–1
october 19#chicago black hawks#4–7#boston bruins#0–2–1
october 23#chicago black hawks#3–3#detroit red wings#0–2–2
october 25#new york rangers#2–1#chicago black hawks#0–3–2
october 27#detroit red wings#3–1#chicago black hawks#0–4–2
october 29#chicago black hawks#2–0#new york rangers#1–4–2
october 30#boston bruins#4–10#chicago black hawks#2–4–2
november 2#montreal canadiens#1–4#chicago black hawks#3–4–2
november 6#toronto maple leafs#4–2#chicago black hawks#3–5–2
november 9#chicago black hawks#3–1#boston bruins#4–5–2
november 12#chicago black hawks#0–4#toronto maple leafs#4–6–2
november 13#montreal canadiens#0–0#chicago black hawks#4–6–3
november 16#chicago black hawks#1–4#detroit red wings#4–7–3
november 17#boston bruins#3–8#chicago black hawks#5–7–3
november 20#new york rangers#5–2#chicago black hawks#5–8–3
november 24#detroit red wings#3–3#chicago black hawks#5–8–4
november 26#chicago black hawks#7–2#detroit red wings#6–8–4
november 27#toronto maple leafs#3–6#chicago black hawks#7–8–4
december 1#boston bruins#4–5#chicago black hawks#8–8–4
december 3#chicago black hawks#3–5#boston bruins#8–9–4
december 4#chicago black hawks#0–4#new york rangers#8–10–4
december 7#chicago black hawks#1–2#new york rangers#8–11–4
december 8#toronto maple leafs#4–1#chicago black hawks#8–12–4
december 10#chicago black hawks#1–1#montreal canadiens#8–12–5
december 11#montreal canadiens#3–0#chicago black hawks#8–13–5
december 14#new york rangers#3–5#chicago black hawks#9–13–5
december 17#chicago black hawks#7–1#toronto maple leafs#10–13–5
december 18#detroit red wings#5–3#chicago black hawks#10–14–5
december 21#boston bruins#4–1#chicago black hawks#10–15–5
december 25#chicago black hawks#4–4#boston bruins#10–15–6
december 28#chicago black hawks#2–5#new york rangers#10–16–6
december 31#chicago black hawks#2–3#montreal canadiens#10–17–6
january 1#montreal canadiens#1–5#chicago black hawks#11–17–6
january 4#chicago black hawks#4–4#toronto maple leafs#11–17–7
january 7#chicago black hawks#2–5#toronto maple leafs#11–18–7
january 8#chicago black hawks#1–1#new york rangers#11–18–8
january 10#montreal canadiens#7–3#chicago black hawks#11–19–8
january 14#chicago black hawks#0–3#montreal canadiens#11–20–8
january 15#chicago black hawks#5–1#boston bruins#12–20–8
january 18#detroit red wings#5–4#chicago black hawks#12–21–8
january 21#chicago black hawks#3–5#detroit red wings#12–22–8
january 22#new york rangers#3–4#chicago black hawks#13–22–8
january 26#boston bruins#1–5#chicago black hawks#14–22–8
january 28#chicago black hawks#1–9#toronto maple leafs#14–23–8
january 29#toronto maple leafs#4–0#chicago black hawks#14–24–8
february 1#toronto maple leafs#0–3#chicago black hawks#15–24–8
february 4#chicago black hawks#6–2#montreal canadiens#16–24–8
february 5#montreal canadiens#4–3#chicago black hawks#16–25–8
february 8#chicago black hawks#2–9#detroit red wings#16–26–8
february 9#new york rangers#5–3#chicago black hawks#16–27–8
february 12#toronto maple leafs#1–1#chicago black hawks#16–27–9
february 15#detroit red wings#0–3#chicago black hawks#17–27–9
february 19#boston bruins#4–4#chicago black hawks#17–27–10
february 22#chicago black hawks#0–3#new york rangers#17–28–10
february 23#new york rangers#7–3#chicago black hawks#17–29–10
february 26#detroit red wings#4–1#chicago black hawks#17–30–10
march 2#montreal canadiens#2–5#chicago black hawks#18–30–10
march 4#chicago black hawks#1–3#montreal canadiens#18–31–10
march 5#chicago black hawks#4–11#boston bruins#18–32–10
march 8#new york rangers#4–2#chicago black hawks#18–33–10
march 11#chicago black hawks#1–5#detroit red wings#18–34–10
march 12#detroit red wings#4–2#chicago black hawks#18–35–10
march 15#toronto maple leafs#0–4#chicago black hawks#19–35–10
march 18#chicago black hawks#1–2#toronto maple leafs#19–36–10
march 19#boston bruins#4–3#chicago black hawks#19–37–10
march 21#chicago black hawks#6–3#new york rangers#20–37–10
march 22#chicago black hawks#7–5#boston bruins#21–37–10
march 25#chicago black hawks#0–4#montreal canadiens#21–38–10
march 26#chicago black hawks#5–4#detroit red wings#22–38–10
