position#game 1#game 2#game 3#game 4
fullback#garry jack#garry jack#garry jack#jonathan docking
wing#michael o'connor#michael o'connor#brian johnston#brian johnston
centre#mark mcgaw#mark mcgaw#brett kenny#mark mcgaw
centre#brian johnston#brian johnston#michael o'connor#michael o'connor
wing#andrew ettingshausen#andrew farrar#andrew ettingshausen#andrew ettingshausen
five - eighth#brett kenny#brett kenny#cliff lyons#cliff lyons
halfback#peter sterling#peter sterling#peter sterling#peter sterling (c)
prop#les davidson#david boyle#peter tunks#peter tunks
hooker#royce simmons#royce simmons#royce simmons#royce simmons
prop#pat jarvis#pat jarvis#phil daley#phil daley
second row#steve folkes#steve folkes#david boyle#noel cleal
second row#noel cleal#les davidson#les davidson#les davidson
lock#wayne pearce (c)#wayne pearce (c)#wayne pearce (c)#paul langmack
replacement#des hasler#des hasler#mark mcgaw#des hasler
replacement#david boyle#paul langmack#steve folkes#david boyle
