district#representative#party#first elected#residence
1#jay neal#republican#2005#lafayette
2#martin scott#republican#2005#rossville
3#ronald l. forster#republican#2001#ringgold
4#roger williams#republican#2001#dalton
5#john d. meadows , iii#republican#2005#calhoun
6#tom dickson#republican#2005#cohutta
7#david ralston#republican#2003#blue ridge
8#charles f. jenkins#democratic#2003#blairsville
9#amos amerson#republican#2001#dahlonega
10#benjamin d. bridges , sr#republican#1997#cleveland
11#barbara massey reece#democratic#1999#menlo
12#tom graves#republican#2003#ranger
13#katie dempsey#republican#2007#rome
14#barry dean loudermilk#republican#2005#cassville
15#jeff lewis#republican#1993#white
16#rick crawford#democratic#2007#cedartown
17#howard r. maxwell#republican#2003#dallas
18#mark butler#republican#2003#carrollton
19#glenn richardson#republican#1997#hiram
20#charlice h. byrd#republican#2005#woodstock
21#calvin hill#republican#2003#canton
22#sean jerguson#republican#2007#woodstock
23#mark hamilton#republican#2007#cumming
24#tom knox#republican#2001#suwanee
25#james mills#republican#1993#gainesville
26#carl rogers#republican#1995#gainesville
27#doug collins#republican#2007#gainesville
28#jeanette jamieson#democratic#1985#toccoa
29#alan powell#democratic#1991#hartwell
30#tom mccall#republican#1995#elberton
31#tommy benton#republican#2005#jefferson
32#judy manning#republican#1997#marietta
33#don wix#democratic#1999#austell
34#rich golick#republican#1999#smyrna
35#ed setzler#republican#2005#acworth
36#earl ehrhart#republican#1989#powder springs
37#terry johnson#democratic#2005#marietta
38#steve tumlin#republican#2005#marietta
39#alisha thomas morgan#democratic#2003#austell
40#rob teilhet#democratic#2003#smyrna
41#sharon cooper#republican#1997#marietta
42#don parsons#republican#1995#marietta
43#bobby franklin#republican#1997#marietta
44#sheila jones#democratic#2005#atlanta
45#matt dollar#republican#2003#marietta
46#jan jones#republican#2003#milton
47#chuck martin#republican#2003#alpharetta
48#harry geisinger#republican#2005#roswell
49#wendell willard#republican#2001#sandy springs
50#mark burkhalter#republican#1993#johns creek
51#tom rice#republican#1997#norcross
52#joe wilkinson#republican#2001#atlanta
53#lanett stanley - turner#democratic#1987#atlanta
54#edward lindsey#republican#2005#atlanta
55#able mable thomas#democratic#2003#atlanta
56#kathy ashe#democratic#1991#atlanta
57#pat gardner#democratic#2001#atlanta
58#robbin shipp#democratic#2007#atlanta
59#margaret kaiser#democratic#2007#atlanta
60#georganna t. sinkfield#democratic#1983#atlanta
61#bob holmes#democratic#1975#east point
62#joe heckstall#democratic#1995#east point
63#tyrone l. brooks , sr#democratic#1981#atlanta
64#roger b. bruce#democratic#2003#atlanta
65#sharon beasley - teague#democratic#1993#red oak
66#virgil fludd#democratic#2003#tyrone
67#bill hembree#republican#1999#winston
68#tim bearden#republican#2005#villa rica
69#randy nix#republican#1995#lagrange
70#lynn ratigan smith#republican#1997#newnan
71#billy horne#republican#2005#sharpsburg
72#matt ramsey#republican#2007#peachtree city
73#john p. yates#republican#1993#griffin
74#roberta abdul - salaam#democratic#2005#riverdale
75#celeste johnson#democratic#2007#jonesboro
76#mike glanton#democratic#2007#jonesboro
77#darryl jordan#democratic#2001#riverdale
78#wade starr#democratic#2007#jonesboro
79#fran millar#republican#1999#atlanta
80#mike jacobs#republican#2005#brookhaven
81#jill chambers#republican#2003#atlanta
82#kevin levitas#democratic#2007#atlanta
83#mary margaret oliver#democratic#2003#decatur
84#stacey abrams#democratic#2007#atlanta
85#stephanie stuckey benfield#democratic#1999#atlanta
86#karla drenner#democratic#2001#avondale estates
87#michele d. henson#democratic#1991#stone mountain
88#billy mitchell#democratic#2003#stone mountain
89#earnest coach williams#democratic#2003#avondale estates
90#howard mosby#democratic#2003#atlanta
91#stan watson#democratic#1997#decatur
92#pam stephenson#democratic#2003#atlanta
93#dee dawkins - haigler#democratic#2008#lithonia
94#randal mangham#democratic#2001#lithonia
95#robert f. mumford#republican#2005#loganville
96#pedro rafael marin#democratic#2003#duluth
97#brooks p. coleman , jr#republican#1993#duluth
98#bobby clifford reese#republican#2005#buford
99#hugh floyd#democratic#2003#norcross
100#brian w. thomas#democratic#2005#lilburn
101#mike coan#republican#1997#lawrenceville
102#clay cox#republican#2005#lilburn
103#david s. casas#republican#2005#lilburn
104#john wilson heard#republican#2003#lawrenceville
105#donna sheldon#republican#2003#dacula
106#melvin everson#republican#2005#snellville
107#len walker#republican#1995#woodbine
108#terry lamar england#republican#2005#auburn
109#steve davis#republican#2005#mcdonough
110#john lunsford#republican#2001#mcdonough
111#jeff may#republican#2005#monroe
112#doug holt#republican#2005#social circle
113#bob smith#republican#1999#watkinsville
114#keith heard#democratic#1993#athens
115#doug mckillip#democratic#2007#athens
116#mickey channell#republican#1993#greensboro
117#barry a. fleming#republican#2003#harlem
118#ben l. harbin#republican#1995#evans
119#barbara sims#republican#2007#augusta
120#quincy murphy#democratic#2001#augusta
121#henry wayne howard#democratic#1990#augusta
122#hardie davis#democratic#2007#augusta
123#gloria frazier#democratic#2007#hephzibah
124#sistie hudson#democratic#1997#sparta
125#jim cole#republican#2005#monticello
126#david knight#republican#2005#griffin
127#billy maddox#republican#2007#zebulon
128#carl epps#democratic#2007#lagrange
129#vance smith , jr#republican#1993#columbus
130#debbie buckner#democratic#2003#junction city
131#richard h. smith#republican#2005#columbus
132#calvin smyre#democratic#1975#columbus
133#carolyn hugley#democratic#1993#columbus
134#mike cheokas#democratic#2005#americus
135#lynmore james#democratic#1993#montezuma
136#tony sellier#democratic#1983#fort valley
137#allen peake#republican#1997#macon
138#nikki randall#democratic#1999#macon
139#david e. lucas , sr#democratic#1975#macon
140#allen g. freeman#republican#2005#macon
141#bobby eugene parham#democratic#1975#milledgeville
142#jimmy lord#democratic#1977#sandersville
143#dubose porter#democratic#1983#dublin
144#jimmy pruett#democratic#2007#eastman
145#willie lee talton#republican#2005#warner robins
146#larry o'neal#republican#2001#bonaire
147#buddy harden#republican#2008#cordele
148#bob hanner#democratic#1975#parrott
149#gerald e. greene#democratic#1983#cuthbert
150#winfred j. dukes#democratic#1997#albany
151#freddie powell sims#democratic#2005#dawson
152#ed rynders#republican#2003#albany
153#austin scott#republican#1997#tifton
154#jay roberts#republican#2003#ocilla
155#greg morris#republican#1999#vidalia
156#larry butch parrish#republican#1985#swainsboro
157#jon g. burns#republican#2005#newington
158#bob lane#republican#1981#brooklet
159#buddy carter#republican#2005#pooler
160#bob bryant#democratic#2005#garden city
161#lester jackson#democratic#1999#savannah
162#j. craig gordon#democratic#2007#savannah
163#burke day#republican#1995#savannah
164#ron stephens#republican#1997#savannah
165#al williams#democratic#2003#midway
166#terry e. barnard#republican#1995#glennville
167#roger bert lane#republican#2005#darien
168#tommy smith#republican#1979#nicholls
169#chuck sims#republican#1997#ambrose
170#penny houston#republican#1997#nashville
171#a. richard royal#democratic#1983#camilla
172#gene maddox#republican#2005#cairo
173#mike keown#republican#2005#thomasville
174#ellis black#democratic#2001#valdosta
175#amy carter#democratic#2007#valdosta
176#jay shaw#democratic#1994#lakeland
177#mark hatfield#republican#2005#waycross
178#mark williams#republican#1993#jesup
179#jerry keen#republican#2001#brunswick
180#cecily a. hill#republican#2003#woodbine
