name#position#period#appearances#goals#nationality square
mamadou sakho#defender#2006 -#201#7#france
daniel sanchez#forward#1981 - 1982#22#2#france
liazid sandjak#defender#1986 - 1992#84#8#algeria
younousse sankharé#midfielder#2007 - 2011#47#1#france
jean - luc sassus#defender#1992 - 1994#76#4#france
pascal schmit#midfielder#1972 - 1973#18#0#france
jean - philippe séchet#midfielder#1994 - 1995#34#2#france
patrice ségura#forward#1984 - 1985#4#1#france
sergei semak#midfielder#2004 - 2006#31#1#russia
oumar sène#midfielder#1985 - 1992#200#18#senegal
stéphane sessègnon#midfielder#2008 - 2011#105#10#benin
thiago silva#defender#2012#34#3#brazil
amara simba#forward#1986 - 1993#109#22#france
marco simone#forward#1997 - 1999#79#32#italy
salvatore sirigu#goalkeeper#2011 -#84#0#italy
mohamed sissoko#midfielder#2011 -#37#2#mali
daniel solas#defender#1971 - 1972#27#0#france
juan pablo sorín#midfielder#2003 - 2004#26#2#argentina
souza#midfielder#2008#17#0#brazil
mordechai spiegler#midfielder#1973 - 1974#21#10#israel
ivica šurjak#forward#1981 - 1982#40#12#yugoslavia
