rank#title#studio#director#gross
1#fatal attraction#paramount#adrian lyne#$320145 , 693
2#beverly hills cop ii#paramount#tony scott#$299965 , 036
3#dirty dancing#vestron#emile ardolino#$213954 , 274
4#the living daylights#united artists#john glen#$191200 , 000
5#three men and a baby#touchstone#leonard nimoy#$167780 , 960
6#good morning , vietnam#touchstone#barry levinson#$123922 , 370
7#lethal weapon#warner bros#richard donner#$120207 , 127
8#the secret of my success#universal#herbert ross#$110996 , 879
9#predator#fox#john mctiernan#$98267 , 558
10#moonstruck#mgm#norman jewison#$80640 , 528
11#the untouchables#paramount#brian de palma#$76270 , 454
12#broadcast news#fox#james l. brooks#$67331 , 309
13#dragnet#universal#tom mankiewicz#$66673 , 516
14#outrageous fortune#touchstone#arthur hiller#$65864 , 741
15#stakeout#touchstone#john badham#$65673 , 233
16#the witches of eastwick#warner bros#george miller#$63766 , 510
17#throw momma from the train#orion#danny devito#$57915 , 972
18#la bamba#columbia#luis valdez#$54215 , 416
19#robocop#orion#paul verhoeven#$53424 , 681
20#eddie murphy raw#paramount#robert townsend#$50505 , 655
