season#division#position#played#lost#points
kingston wildcats#kingston wildcats#kingston wildcats#kingston wildcats#kingston wildcats#kingston wildcats
2005 - 2006#ebl div1#9th#26#15#22
2004 - 2005#ebl div1#11th#22#17#10
2003 - 2004#ebl div1#11th#22#17#8
2002 - 2003#nbl conf#6th#22#11#22
2001 - 2002#nbl conf#4th#18#7#22
2000 - 2001#nbl div1#6th#18#12#12
1999 - 2000#nbl div2#3rd#24#7#34
1998 - 1999#nbl div2#6th#26#10#32
chessington wildcats#chessington wildcats#chessington wildcats#chessington wildcats#chessington wildcats#chessington wildcats
1997 - 1998#nbl div2#12th#24#19#10
1996 - 1997#nbl div2#11th#26#19#14
1995 - 1996#nbl div3 south#2nd#16#2#28
1994 - 1995#nbl div3 south#4th#18#6#214
