name#gp - gs#gain#loss#long#avg / g
edwards , antwan#10 - 6#516#76#47#44.0
babb , justin#10 - 0#162#15#24#14.7
may , reginald#5 - 2#102#3#16#19.8
williams , reggie#10 - 0#105#17#24#8.8
beard , jamie#10 - 8#93#12#39#8.1
mccrary , greg#7 - 3#183#133#25#7.1
kilcrease , jacorey#7 - 5#116#68#20#6.9
cochran , vince#9 - 0#11#9#11#0.2
rhines , chris#9 - 1#28#28#18#0.0
hollinger , deleon#10 - 7#0#1#0#- 0.1
team#4 - 0#0#1#0#- 0.2
webster , brandon#2 - 0#0#11#0#- 5.5
johnson , jeremy#10 - 0#0#43#0#- 4.3
total#10#1316#417#47#89.9
opponents#10#2254#220#80#203.4
