year#round#pick#overall#position#nfl team
1938#1#5#5#hb#chicago cardinals
1938#2#1#11#e#cleveland rams
1938#6#1#41#e#cleveland rams
1938#10#5#85#b#chicago cardinals
1939#7#10#60#c#new york giants
1940#1#3#3#hb#pittsburgh pirates
1940#6#3#43#t#philadelphia eagles
1940#9#5#75#g#cleveland rams
1940#16#8#148#de#washington redskins
1941#6#1#98#e#philadelphia eagles
1941#9#4#74#g#cleveland rams
1941#13#5#115#e#detroit lions
1941#15#7#137#e#green bay packers
1942#16#5#145#t#detroit lions
1942#17#7#157#e#brooklyn dodgers
1943#11#8#98#b#green bay packers
1943#23#2#212#t#philadelphia eagles
1943#24#7#227#e#pittsburgh steelers
1943#27#4#254#t#brooklyn dodgers
1944#11#6#104#e#green bay packers
1944#22#10#229#b#cleveland rams
1944#29#6#302#g#green bay packers
1945#9#3#79#db#pittsburgh steelers
1945#9#11#87#e#green bay packers
1945#11#4#102#e#boston yanks
1945#11#10#108#t#new york giants
1945#13#10#130#t#new york giants
1945#14#11#142#b#green bay packers
1945#20#2#199#t#boston yanks
1945#29#10#306#b#new york giants
1946#9#10#80#e#los angeles rams
1946#29#1#271#e#chicago cardinals
1947#4#2#25#e#boston yanks
1947#15#3#128#c#washington redskins
1947#26#6#241#e#green bay packers
1948#1#8#8#hb#philadelphia eagles
1948#4#2#25#t#detroit lions
1948#5#2#27#t#green bay packers
1948#18#7#162#hb#philadelphia eagles
1948#20#6#181#c#green bay packers
1948#23#1#206#g#new york giants
1949#5#8#49#hb#chicago bears
1949#17#7#168#b#washington redskins
1949#22#6#217#e#los angeles rams
1949#25#2#243#g#green bay packers
1950#2#1#15#fb#baltimore colts
1950#9#1#106#b#baltimore colts
1950#12#11#155#g#los angeles rams
1950#14#13#183#e#philadelphia eagles
1950#18#5#227#b#washington redskins
1950#26#1#327#hb#baltimore colts
1951#8#6#93#e#philadelphia eagles
1951#10#4#116#b#philadelphia eagles
1951#26#2#221#g#washington redskins
1951#26#9#312#b#chicago bears
1951#26#12#315#dt#cleveland browns
1951#28#5#332#e#philadelphia eagles
1951#28#9#336#fb#chicago bears
1952#2#12#25#lb#los angeles rams
1952#4#8#45#e#detroit lions
1952#5#3#52#dt#green bay packers
1952#5#7#56#dt#chicago bears
1952#8#7#92#e#chicago bears
1952#13#1#146#g#new york giants
1952#20#3#232#e#chicago cardinals
1953#8#12#97#hb#detroit lions
1953#10#1#110#b#baltimore colts
1953#15#1#170#b#baltimore colts
1954#1#2#2#qb#chicago cardinals
1954#6#10#71#db#san francisco 49ers
1954#8#5#90#t#chicago bears
1954#14#1#158#g#chicago cardinals
1954#17#1#194#b#chicago cardinals
1954#19#12#229#t#detroit lions
1955#5#11#13#g#detroit lions
1955#27#3#316#b#washington redskins
1956#1#13#13#e#cleveland browns
1956#2#6#19#db#new york giants
1956#27#3#316#b#pittsburgh steelers
1956#27#8#321#b#new york giants
1956#28#8#333#t#new york giants
1957#3#1#26#dt#los angeles rams
1957#3#3#28#b#cleveland browns
1957#5#5#54#b#baltimore colts
1958#21#10#251#b#san francisco 49ers
1959#20#1#229#b#green bay packers
1959#21#9#249#hb#chicago bears
1961#4#12#54#b#green bay packers
1961#7#11#95#te#new york giants
1962#1#8#8#wr#san francisco 49ers
1962#10#1#127#g#washington redskins
1962#13#12#180#b#philadelphia eagles
1962#16#13#223#de#philadelphia eagles
1963#3#2#30#lb#st. louis cardinals
1963#12#1#155#hb#los angeles rams
1963#16#8#218#g#washington redskins
1963#20#3#269#e#st. louis cardinals
1964#7#6#90#t#detroit lions
1964#7#9#93#e#st. louis cardinals
1964#20#4#270#qb#washington redskins
1965#6#12#82#t#st. louis cardinals
1965#9#9#121#lb#los angeles rams
1966#2#11#27#rb#minnesota vikings
1966#9#11#136#t#detroit lions
1966#10#1#141#g#atlanta falcons
1966#10#12#152#rb#chicago bears
1966#16#7#237#de#minnesota vikings
1966#19#7#282#wr#new york giants
1967#1#10#10#de#chicago bears
1967#1#19#19#rb#philadelphia eagles
1967#6#18#151#db#atlanta falcons
1968#2#9#36#t#pittsburgh steelers
1968#5#4#115#qb#new orleans saints
1969#5#17#121#g#minnesota vikings
1969#8#15#197#g#chicago bears
1969#12#2#288#db#philadelphia eagles
1970#6#20#150#db#new york jets
1970#8#23#205#g#dallas cowboys
1970#10#19#253#rb#detroit lions
1970#10#26#260#g#kansas city chiefs
1970#14#12#350#c#new york giants
1970#17#7#423#lb#st. louis cardinals
1971#4#11#89#db#chicago bears
1971#7#13#169#wr#san diego chargers
1971#9#26#234#rb#baltimore colts
1971#16#5#395#lb#philadelphia eagles
1971#17#3#419#te#buffalo bills
1972#3#9#61#k#san diego chargers
1972#8#2#184#t#new york giants
1972#9#12#220#t#new england patriots
1972#11#5#265#lb#st. louis cardinals
1973#3#5#57#qb#buffalo bills
1973#5#2#106#de#pittsburgh steelers
1973#8#13#195#g#atlanta falcons
1973#9#7#215#wr#buffalo bills
1973#10#24#258#dt#pittsburgh steelers
1973#12#5#291#g#chicago bears
1973#17#12#428#wr#atlanta falcons
1974#6#10#140#lb#baltimore colts
1974#7#4#160#wr#chicago bears
1974#11#23#283#rb#pittsburgh steelers
1975#6#15#145#db#cincinnati bengals
1975#9#7#215#db#cleveland browns
1975#12#1#287#rb#new york giants
1975#15#16#380#dt#new york jets
1976#2#7#35#rb#new england patriots
1976#5#19#143#qb#baltimore colts
1976#6#21#177#qb#san francisco 49ers
1976#8#7#216#c#philadelphia eagles
1976#11#28#319#rb#pittsburgh steelers
1977#2#8#36#g#atlanta falcons
