rank#heat#lane#name#nationality#time
1#12#4#amaury leveaux#france#21.46
2#11#5#césar cielo#brazil#21.47
3#12#3#stefan nystrand#sweden#21.75
3#12#5#ben wildman - tobriner#united states#21.75
5#13#3#roland mark schoeman#south africa#21.76
6#11#1#george bovell#trinidad and tobago#21.77
7#13#5#alain bernard#france#21.78
8#13#4#eamon sullivan#australia#21.79
9#11#4#garrett weber - gale#united states#21.95
10#12#7#rafed el - masri#germany#21.96
11#11#7#nicholas santos#brazil#22.00
12#11#3#duje draganja#croatia#22.05
13#13#2#ashley callus#australia#22.11
14#12#6#krisztián takács#hungary#22.14
15#11#6#bartosz kizierowski#poland#22.15
16#12#2#gideon louw#south africa#22.17
17#12#1#andrey grechin#russia#22.20
18#10#4#jernej godec#slovenia#22.21
19#8#4#flori lang#switzerland#22.27
20#9#1#david dunford#kenya#22.29
21#13#1#yevgeny lagunov#russia#22.30
22#11#2#javier noriega#spain#22.33
23#13#6#mark foster#great britain#22.35
23#13#8#salim iles#algeria#22.35
25#9#6#miko mälberg#estonia#22.37
26#10#5#apostolos tsagkarakis#greece#22.39
27#10#6#richard hortness#canada#22.42
28#10#7#yoris grandjean#belgium#22.45
29#10#1#matti rajakylä#finland#22.48
30#9#3#cai li#china#22.50
30#9#7#alessandro calvi#italy#22.50
32#10#3#robert lijesen#netherlands#22.51
33#10#2#jakob andkjær#denmark#22.52
34#8#8#jacinto de jesus ayala benjamin#dominican republic#22.57
35#10#8#josé meolans#argentina#22.58
36#9#2#andrei radzionau#belarus#22.65
37#11#8#kaan tayla#turkey#22.66
38#13#7#steffen deibler#germany#22.67
39#9#8#daniel coakley#philippines#22.69
40#9#5#virdhawal khade#india#22.73
41#7#4#oliver elliot#chile#22.75
42#8#3#yuriy yegoshin#ukraine#22.77
43#7#2#norbert trandafir#romania#22.80
44#7#8#árni már árnason#iceland#22.81
45#7#5#jevon atkinson#jamaica#22.83
45#8#1#mohammad madwa#kuwait#22.83
47#8#6#jonathan javier camacho riera#venezuela#22.87
48#7#6#stanislav kuzmin#kazakhstan#22.91
49#9#4#camilo becerra#colombia#22.93
50#8#5#francisco picasso#uruguay#23.01
51#7#3#martyn forde#barbados#23.08
52#8#2#elvis burrows#bahamas#23.19
53#7#1#joshua laban#virgin islands#23.28
54#12#8#mohamed el nady#egypt#23.92
55#6#4#yellow yeiyah#nigeria#24.00
56#7#7#vitaly vasilyev#kyrgyzstan#24.02
57#6#5#rodion davelaar#netherlands antilles#24.21
58#8#7#rolandas gimbutis#lithuania#24.36
59#6#6#anas hamadeh#jordan#24.40
60#6#2#luke hall#swaziland#24.41
61#5#7#alain brigion tobe#cameroon#24.53
62#1#4#alois dansou#benin#24.54
63#5#5#sidni hoxha#albania#24.56
64#1#5#omar jasim#bahrain#24.65
65#5#4#zane jordan#zambia#24.82
66#6#1#daniel lee#sri lanka#24.92
67#6#7#chakyl camal#mozambique#24.93
68#5#3#andrey molchanov#turkmenistan#25.02
69#6#8#niall roberts#guyana#25.13
70#5#6#kerson hadley#federated states of micronesia#25.34
71#4#4#stewart glenister#american samoa#25.45
72#5#1#john kamyuka#botswana#25.54
73#4#3#hamse abdouh#palestine#25.60
74#5#2#adil baig#pakistan#25.66
75#1#3#omar nunez#nicaragua#26.00
76#5#8#kouassi brou#ivory coast#26.08
77#4#5#kyaw zin#myanmar#26.17
78#4#6#tural abbasov#azerbaijan#26.31
79#4#1#hemthon ponloeu#cambodia#27.39
80#3#5#charlton nyirenda#malawi#27.46
81#4#7#prasiddha jung shah#nepal#27.59
82#4#8#gilbert kaburu#uganda#27.72
83#3#3#jackson niyomugabo#rwanda#27.74
84#3#7#khalid rushaka#tanzania#28.50
85#3#6#dwayne didon#seychelles#28.95
86#3#8#mohamed coulibaly#mali#29.09
87#3#1#alisher chingizov#tajikistan#29.10
88#3#2#ibrahim shameel#maldives#29.28
89#3#4#mamadou cisse#guinea#29.29
90#2#3#thepphithak chindavong#laos#29.31
91#6#3#mohamed attoumane#comoros#29.63
92#2#6#rene jacob yougbara#burkina faso#30.08
93#4#2#ahmed adam#sudan#30.12
94#2#4#abdulsalam al gadabi#yemen#30.63
95#2#5#mohamed alhousseini alhassan#niger#30.90
96#2#2#kareem valentine#antigua and barbuda#31.23
97#2#7#stany kempompo ngangola#dr congo#35.19
