year#date#type#president#location
2010#11 february#informal#herman van rompuy (1st term)#solvay library , brussels
2010#25 march#euro summit#herman van rompuy (1st term)#justus lipsius building , brussels
2010#25 - 26 march#scheduled#herman van rompuy (1st term)#justus lipsius building , brussels
2010#7 may#euro summit#herman van rompuy (1st term)#justus lipsius building , brussels
2010#17 june#scheduled#herman van rompuy (1st term)#justus lipsius building , brussels
2010#16 september#―#herman van rompuy (1st term)#justus lipsius building , brussels
2010#28 - 29 october#scheduled#herman van rompuy (1st term)#justus lipsius building , brussels
2010#16 - 17 december#scheduled#herman van rompuy (1st term)#justus lipsius building , brussels
2011#4 february#scheduled#herman van rompuy (1st term)#justus lipsius building , brussels
2011#11 march#euro summit#herman van rompuy (1st term)#justus lipsius building , brussels
2011#11 march#extraordinary#herman van rompuy (1st term)#justus lipsius building , brussels
2011#24 - 25 march#scheduled#herman van rompuy (1st term)#justus lipsius building , brussels
2011#23 - 24 june#scheduled#herman van rompuy (1st term)#justus lipsius building , brussels
2011#21 july#euro summit#herman van rompuy (1st term)#justus lipsius building , brussels
2011#23 october#scheduled#herman van rompuy (1st term)#justus lipsius building , brussels
2011#23 - 26 october#euro summit#herman van rompuy (1st term)#justus lipsius building , brussels
2011#26 october#informal#herman van rompuy (1st term)#justus lipsius building , brussels
2011#8 - 9 december#scheduled#herman van rompuy (1st term)#justus lipsius building , brussels
2011#9 december#euro summit#herman van rompuy (1st term)#justus lipsius building , brussels
2012#30 january#euro summit#herman van rompuy (1st term)#justus lipsius building , brussels
2012#30 january#informal#herman van rompuy (1st term)#justus lipsius building , brussels
2012#1 - 2 march#scheduled#herman van rompuy (1st term)#solvay library , brussels
2012#2 march#euro summit#herman van rompuy (1st term)#solvay library , brussels
2012#23 may#informal#herman van rompuy (1st term)#justus lipsius building , brussels
2012#28 - 29 june#scheduled#herman van rompuy (2nd term)#justus lipsius building , brussels
2012#28 - 29 june#euro summit#herman van rompuy (2nd term)#justus lipsius building , brussels
2012#18 - 19 october#scheduled#herman van rompuy (2nd term)#justus lipsius building , brussels
2012#22 - 23 november#scheduled#herman van rompuy (2nd term)#justus lipsius building , brussels
2012#13 - 14 december#scheduled#herman van rompuy (2nd term)#justus lipsius building , brussels
2013#7 - 8 february#scheduled#herman van rompuy (2nd term)#justus lipsius building , brussels
2013#14 march#euro summit#herman van rompuy (2nd term)#justus lipsius building , brussels
2013#14 - 15 march#scheduled#herman van rompuy (2nd term)#justus lipsius building , brussels
2013#22 may#scheduled#herman van rompuy (2nd term)#justus lipsius building , brussels
