outcome#year#championship#surface#partner#opponents#score
runner - up#1984#australian open#grass#claudia kohde - kilsch#martina navratilova pam shriver#6 - 3 , 6 - 4
runner - up#1985#french open#clay#claudia kohde - kilsch#martina navratilova pam shriver#4 - 6 , 6 - 2 , 6 - 2
winner#1985#us open#hard#claudia kohde - kilsch#martina navratilova pam shriver#6 - 7 (5) , 6 - 2 , 6 - 3
runner - up#1985#australian open#grass#claudia kohde - kilsch#martina navratilova pam shriver#6 - 3 , 6 - 4
winner#1987#wimbledon#grass#claudia kohde - kilsch#betsy nagelsen elizabeth smylie#7 - 5 , 7 - 5
runner - up#1988#french open#clay#claudia kohde - kilsch#martina navratilova pam shriver#6 - 2 , 7 - 5
winner#1989#wimbledon#grass#jana novotná#larisa savchenko natasha zvereva#6 - 1 , 6 - 2
winner#1990#australian open#hard#jana novotná#patty fendick mary joe fernández#7 - 6 (5) , 7 - 6 (6)
winner#1990#french open#clay#jana novotná#larisa neiland natasha zvereva#6 - 4 , 7 - 5
winner#1990#wimbledon#grass#jana novotná#kathy jordan elizabeth smylie#6 - 3 , 6 - 4
runner - up#1990#us open#hard#jana novotná#gigi fernández martina navratilova#6 - 2 , 6 - 4
winner#1992#australian open#hard#arantxa sánchez vicario#mary joe fernandez zina garrison#6 - 4 , 7 - 6 (3)
winner#1993#us open#hard#arantxa sánchez vicario#amanda coetzer inés gorrochategui#6 - 4 , 6 - 2
