player#played#legs won#legs lost#lwat#100 +#140 +#180s#high checkout#3 - dart average
phil taylor#5#74#34#30#143#92#36#160#104.81
james wade#5#65#46#28#120#95#42#157#99.49
steve beaton#1#6#10#0#19#14#4#152#97.91
mark walsh#2#19#19#7#60#26#12#96#97.72
colin osborne#2#15#20#5#44#19#10#110#96.93
dennis priestley#4#47#50#18#131#62#13#155#94.10
alan tabern#3#37#31#14#98#52#14#120#93.31
ronnie baxter#2#17#17#7#44#23#4#102#93.20
terry jenkins#2#21#19#9#52#30#9#160#92.79
kevin mcdine#3#29#33#9#87#35#15#160#92.69
andy hamilton#1#12#14#5#35#18#4#140#92.59
vincent van der voort#1#8#10#3#18#15#5#96#92.25
mervyn king#1#7#10#1#22#13#1#116#91.49
colin lloyd#1#6#10#2#22#5#2#127#91.37
alex roy#1#6#10#3#27#13#2#116#91.32
wayne jones#1#4#10#1#18#12#1#116#91.04
matt clark#3#35#26#11#75#34#9#161#90.80
michael van gerwen#2#23#25#9#64#29#8#112#90.68
denis ovens#1#4#10#1#22#10#3#110#90.59
roland scholten#1#4#10#0#17#6#1#74#90.56
peter manley#2#16#17#5#48#20#8#156#90.03
raymond van barneveld#3#40#30#16#91#44#6#138#89.57
wayne mardle#4#47#51#16#133#65#12#155#89.20
adrian lewis#1#8#10#3#17#14#4#116#88.75
mark dudbridge#1#9#11#2#23#18#5#160#88.28
john part#2#17#16#6#26#24#7#120#87.75
tony eccles#2#13#21#4#54#11#4#157#86.78
kevin painter#1#8#10#3#26#10#2#76#86.57
adrian gray#1#8#10#3#23#7#3#81#84.63
andy smith#1#4#10#1#22#5#2#80#84.45
mark frost#1#9#11#5#29#13#2#102#82.17
chris mason#1#3#10#1#26#3#0#115#81.97
