name#dates active#windspeeds#pressure#deaths
nargis#april 27 - may 3#165 km / h (105 mph)#962hpa (28.41inhg)#~140000
arb 01#june 5 - 7#45 km / h (30 mph)#994hpa (29.36inhg)#0
bob 02#june 16 - 18#45 km / h (30 mph)#988hpa (29.18inhg)#54
bob 03#august 9 - 10#45 km / h (30 mph)#1004hpa (29.65inhg)#61
bob 04#september 14 - 19#55 km / h (35 mph)#986hpa (29.12inhg)#25
arb 02#october 19 - 23#55 km / h (35 mph)#1005hpa (29.68inhg)#180
rashmi#october 25 - 27#85 km / h (50 mph)#984hpa (29.06inhg)#28
khai muk#november 13 - 16#65 km / h (40 mph)#996hpa (29.42inhg)#0
nisha#november 25 - 29#85 km / h (50 mph)#996hpa (29.42inhg)#204
bob 08#december 4 - 8#55 km / h (35 mph)#996hpa (29.42inhg)#0
season aggregates#season aggregates#season aggregates#season aggregates#season aggregates
10systems#april 27 - december 8#165 km / h (105 mph)#962hpa (28.41inhg)#140554
