pinnacle height#year#structure type#main use#country#town
m (ft)#1969#guyed mast#vhf - uhf transmission#u.s#hemingford , nebraska
m (ft)#1992#guyed mast#vhf - uhf transmission#u.s#liverpool , texas
m (ft)#2001#guyed mast#vhf - uhf transmission#u.s#dillon , south carolina
m (ft)#1990#guyed mast#vhf - uhf transmission#u.s#bertram , texas
m (ft)#2002#guyed mast#vhf - uhf transmission#u.s#collinsville , texas
m (ft) (orig. 609.6 m)#1971#guyed mast#vhf - uhf transmission#u.s#fordland , missouri
m (ft)#1981#guyed mast#vhf - uhf transmission#u.s#winnabow , north carolina
m (ft)#2001#guyed mast#vhf - uhf transmission#u.s#robertsdale , alabama
m (ft)#1985#guyed mast#vhf - uhf transmission#u.s#dallas , north carolina
m (ft)#1977#guyed mast#vhf - uhf transmission#u.s#grady , alabama
m (ft)#1986#guyed mast#vhf - uhf transmission#u.s#columbia , louisiana
m (ft)#1988#guyed mast#vhf - uhf transmission#u.s#splendora , texas
m (ft)#1974#guyed mast#vhf - uhf transmission#u.s#walker city , iowa
m (ft)#1981#guyed mast#vhf - uhf transmission#u.s#eddy , texas
m (ft)#1998#guyed mast#vhf - uhf transmission#u.s#greenwood , texas
m (ft)#1999#guyed mast#vhf - uhf transmission#u.s#rio grande city , texas
m (ft)#2004#guyed mast#vhf - uhf transmission#u.s#randleman , north carolina
m (ft)#1988#guyed mast#vhf - uhf transmission#u.s#coweta , oklahoma
m (ft)#2004#guyed mast#vhf - uhf transmission#u.s#robertsdale , alabama
m (ft)#1998#offshore platform#oil drilling#u.s#garden banks , gulf of mexico
m (ft)#1978#guyed mast#vhf - uhf transmission#u.s#bethlehem , florida
m (ft)#1985#guyed mast#vhf - uhf transmission#u.s#redfield , arkansas
m (ft)#2002#guyed mast#vhf - uhf transmission#u.s#greensboro , north carolina
m (ft)#2000#guyed mast#vhf - uhf transmission#u.s#shepherd , texas
m (ft)#1986#guyed mast#vhf - uhf transmission#u.s#spanish fort , alabama
m (ft)#2000#guyed mast#vhf - uhf transmission#u.s#saint cloud , florida
m (ft)#1980#guyed mast#vhf - uhf transmission#u.s#gray court , south carolina
m (ft)#1965#guyed mast#vhf - uhf transmission#u.s#genoa , nebraska
m (ft)#1993#guyed mast#vhf - uhf transmission#u.s#princeton , florida
m (ft)#1985#guyed mast#vhf - uhf transmission#u.s#gretna , nebraska
m (ft)#1965#guyed mast#vhf - uhf transmission#u.s#roswell , new mexico
m (ft)#1984#guyed mast#vhf - uhf transmission#u.s#oneta , oklahoma
m (ft)#2003#guyed mast#vhf - uhf transmission#u.s#shreveport , louisiana
m (ft)#1976#concrete tower#observation , vhf - uhf transmission#canada#toronto , ontario
