source#date#martin#grüne#others#undecided
gallup / österreich#2009 - 06 - 02#12–14%#8–10%#–#–
market / standard#2009 - 06 - 01#15%#8%#1%#–
karmasin / profil#2009 - 05 - 28#13%#10%#2%#–
ogm / news#2009 - 05 - 27#14%#8%#1%#–
ifes / heute#2009 - 05 - 25#10%#11%#2%#–
ogm / orf#2009 - 05 - 24#11%#9%#2%#–
market / standard#2009 - 05 - 22#17%#10%#4%#–
market / orf - eco#2009 - 05 - 08#13%#8%#2%#–
gallup / österreich#2009 - 05 - 08#8%#9%#–#–
ogm / news#2009 - 05 - 06#9%#10%#–#–
karmasin / profil#2009 - 05 - 02#9%#9%#–#–
ogm / news#2009 - 04 - 15#6%#9%#1%#–
gallup / österreich#2009 - 04 - 04#6–8%#8–10%#–#–
peter hayek / atv#2009 - 04 - 01#10%#9%#3%#–
manova / presse#2009 - 04 - 01#3%#13%#2%#–
gallup / österreich#2009 - 03 - 27#7–9%#9 - 11%#–#–
market / standard#2009 - 03 - 25#8%#9%#3%#–
gallup / österreich#2009 - 03 - 13#7–9%#9 - 11%#–#–
fessel - gfk / presse#2009 - 03 - 05#4%#8%#–#26%
