team#outgoing manager#manner of departure#date of vacancy#replaced by#date of appointment
konyaspor#raşit çetiner#sacked#17 september 2008#giray bulak#24 september 2008
kocaelispor#engin ipekoğlu#sacked#25 september 2008#yılmaz vural#28 september 2008
beşiktaş#ertuğrul sağlam#resigned#7 october 2008#mustafa denizli#9 october 2008
ankaragücü#hakan kutlu#sacked#20 october 2008#ünal karaman#24 october 2008
antalyaspor#jozef jarabinský#sacked#28 october 2008#mehmet özdilek#28 october 2008
hacettepe#osman özdemir#resigned#2 november 2008#erdoğan arıca#3 november 2008
denizlispor#ali yalçın#resigned#2 november 2008#ümit kayıhan#10 november 2008
gençlerbirliği#mesut bakkal#resigned#3 november 2008#samet aybaba#5 november 2008
bursaspor#samet aybaba#resigned#4 november 2008#güvenç kurtar#4 november 2008
ankaragücü#ünal karaman#resigned#8 december 2008#hakan kutlu#2 january 2009
bursaspor#güvenç kurtar#resigned#23 december 2008#ertuğrul sağlam#2 january 2009
kocaelispor#yılmaz vural#resigned#29 december 2008#erhan altın#17 january 2009
denizlispor#ümit kayıhan#sacked#5 february 2009#mesut bakkal#6 february 2009
galatasaray#michael skibbe#sacked#23 february 2009#bülent korkmaz#23 february 2009
hacettepe#erdoğan arıca#resigned#2 march 2009#ergün penbe#2 march 2009
gaziantepspor#nurullah sağlam#resigned#9 march 2009#josé couceiro#6 april 2009
