date#visitor#score#home#record
october 10#chicago blackhawks#1 - 2#columbus blue jackets#1 - 0 - 0 - 0
october 12#columbus blue jackets#2 - 3#new jersey devils#1 - 1 - 0 - 0
october 14#phoenix coyotes#4 - 2#columbus blue jackets#1 - 2 - 0 - 0
october 17#columbus blue jackets#1 - 7#st. louis blues#1 - 3 - 0 - 0
october 19#florida panthers#1 - 4#columbus blue jackets#2 - 3 - 0 - 0
october 23#tampa bay lightning#2 - 2#columbus blue jackets#2 - 3 - 1 - 0
october 25#san jose sharks#5 - 4#columbus blue jackets#2 - 4 - 1 - 0
october 27#los angeles kings#1 - 5#columbus blue jackets#3 - 4 - 1 - 0
october 29#columbus blue jackets#2 - 3#chicago blackhawks#3 - 5 - 1 - 0
november 1#dallas stars#2 - 4#columbus blue jackets#4 - 5 - 1 - 0
november 3#buffalo sabres#2 - 3#columbus blue jackets#5 - 5 - 1 - 0
november 5#washington capitals#4 - 3#columbus blue jackets#5 - 5 - 1 - 1
november 7#columbus blue jackets#5 - 2#st. louis blues#6 - 5 - 1 - 1
november 9#new york rangers#3 - 6#columbus blue jackets#7 - 5 - 1 - 1
november 12#columbus blue jackets#4 - 5#colorado avalanche#7 - 6 - 1 - 1
november 14#mighty ducks of anaheim#3 - 2#columbus blue jackets#7 - 7 - 1 - 1
november 16#columbus blue jackets#1 - 1#nashville predators#7 - 7 - 2 - 1
november 17#columbus blue jackets#2 - 3#dallas stars#7 - 7 - 2 - 2
november 20#st. louis blues#2 - 3#columbus blue jackets#8 - 7 - 2 - 2
november 22#columbus blue jackets#4 - 5#buffalo sabres#8 - 8 - 2 - 2
november 23#columbus blue jackets#2 - 5#ottawa senators#8 - 9 - 2 - 2
november 27#edmonton oilers#3 - 1#columbus blue jackets#8 - 10 - 2 - 2
november 29#columbus blue jackets#4 - 2#new york islanders#9 - 10 - 2 - 2
november 30#carolina hurricanes#4 - 2#columbus blue jackets#9 - 11 - 2 - 2
december 3#columbus blue jackets#3 - 5#new york rangers#9 - 12 - 2 - 2
december 6#columbus blue jackets#2 - 3#san jose sharks#9 - 13 - 2 - 2
december 7#columbus blue jackets#4 - 2#los angeles kings#10 - 13 - 2 - 2
december 9#columbus blue jackets#2 - 2#phoenix coyotes#10 - 13 - 3 - 2
december 12#new jersey devils#2 - 4#columbus blue jackets#11 - 13 - 3 - 2
december 14#columbus blue jackets#4 - 6#detroit red wings#11 - 14 - 3 - 2
december 19#calgary flames#0 - 3#columbus blue jackets#12 - 14 - 3 - 2
december 20#columbus blue jackets#1 - 3#chicago blackhawks#12 - 15 - 3 - 2
december 23#detroit red wings#1 - 0#columbus blue jackets#12 - 16 - 3 - 2
december 26#columbus blue jackets#2 - 4#detroit red wings#12 - 17 - 3 - 2
december 28#st. louis blues#6 - 1#columbus blue jackets#12 - 18 - 3 - 2
december 29#columbus blue jackets#2 - 5#st. louis blues#12 - 19 - 3 - 2
december 31#pittsburgh penguins#2 - 5#columbus blue jackets#13 - 19 - 3 - 2
january 3#columbus blue jackets#2 - 2#washington capitals#13 - 19 - 4 - 2
january 4#phoenix coyotes#0 - 2#columbus blue jackets#14 - 19 - 4 - 2
january 6#nashville predators#5 - 1#columbus blue jackets#14 - 20 - 4 - 2
january 8#columbus blue jackets#2 - 1#minnesota wild#15 - 20 - 4 - 2
january 10#columbus blue jackets#3 - 2#vancouver canucks#16 - 20 - 4 - 2
january 11#columbus blue jackets#7 - 2#calgary flames#17 - 20 - 4 - 2
january 13#columbus blue jackets#5 - 8#edmonton oilers#17 - 21 - 4 - 2
january 15#mighty ducks of anaheim#4 - 3#columbus blue jackets#17 - 22 - 4 - 2
january 18#columbus blue jackets#2 - 7#boston bruins#17 - 23 - 4 - 2
january 20#chicago blackhawks#1 - 5#columbus blue jackets#18 - 23 - 4 - 2
january 22#columbus blue jackets#2 - 4#dallas stars#18 - 24 - 4 - 2
january 23#columbus blue jackets#0 - 5#colorado avalanche#18 - 25 - 4 - 2
january 25#new york islanders#1 - 4#columbus blue jackets#19 - 25 - 4 - 2
january 28#colorado avalanche#2 - 2#columbus blue jackets#19 - 25 - 5 - 2
january 30#nashville predators#1 - 2#columbus blue jackets#20 - 25 - 5 - 2
february 5#vancouver canucks#4 - 4#columbus blue jackets#20 - 25 - 6 - 2
february 8#columbus blue jackets#2 - 3#nashville predators#20 - 26 - 6 - 2
february 12#san jose sharks#0 - 1#columbus blue jackets#21 - 26 - 6 - 2
february 13#columbus blue jackets#2 - 1#montreal canadiens#22 - 26 - 6 - 2
february 15#chicago blackhawks#7 - 1#columbus blue jackets#22 - 27 - 6 - 2
february 18#columbus blue jackets#2 - 5#phoenix coyotes#22 - 28 - 6 - 2
february 19#columbus blue jackets#0 - 2#mighty ducks of anaheim#22 - 29 - 6 - 2
february 21#columbus blue jackets#0 - 6#san jose sharks#22 - 30 - 6 - 2
february 23#columbus blue jackets#2 - 7#vancouver canucks#22 - 31 - 6 - 2
february 25#columbus blue jackets#0 - 5#nashville predators#22 - 32 - 6 - 2
february 27#los angeles kings#1 - 3#columbus blue jackets#23 - 32 - 6 - 2
march 1#edmonton oilers#3 - 3#columbus blue jackets#23 - 32 - 7 - 2
march 3#detroit red wings#3 - 2#columbus blue jackets#23 - 33 - 7 - 2
march 6#vancouver canucks#4 - 5#columbus blue jackets#24 - 33 - 7 - 2
march 8#calgary flames#3 - 2#columbus blue jackets#24 - 33 - 7 - 3
march 10#columbus blue jackets#5 - 6#carolina hurricanes#24 - 34 - 7 - 3
march 11#dallas stars#2 - 0#columbus blue jackets#24 - 35 - 7 - 3
march 13#colorado avalanche#5 - 1#columbus blue jackets#24 - 36 - 7 - 3
march 15#minnesota wild#0 - 5#columbus blue jackets#25 - 36 - 7 - 3
march 17#columbus blue jackets#2 - 3#atlanta thrashers#25 - 37 - 7 - 3
march 20#toronto maple leafs#3 - 4#columbus blue jackets#26 - 37 - 7 - 3
march 22#atlanta thrashers#3 - 2#columbus blue jackets#26 - 38 - 7 - 3
march 24#columbus blue jackets#0 - 5#mighty ducks of anaheim#26 - 39 - 7 - 3
march 25#columbus blue jackets#2 - 1#los angeles kings#27 - 39 - 7 - 3
march 28#columbus blue jackets#0 - 4#edmonton oilers#27 - 40 - 7 - 3
march 29#columbus blue jackets#6 - 4#calgary flames#28 - 40 - 7 - 3
april 1#columbus blue jackets#0 - 4#philadelphia flyers#28 - 41 - 7 - 3
april 2#minnesota wild#0 - 3#columbus blue jackets#29 - 41 - 7 - 3
april 4#detroit red wings#5 - 5#columbus blue jackets#29 - 41 - 8 - 3
april 6#columbus blue jackets#3 - 4#minnesota wild#29 - 42 - 8 - 3
