position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#real betis#34#42#18#6#10#66#42#+ 24
2#cd tenerife#34#38#15#8#11#61#40#+ 21
3#real murcia#34#38#15#8#11#54#42#+ 12
4#levante ud#34#37#15#7#12#65#48#+ 17
5#hércules cf#34#36#15#6#13#57#54#+ 3
6#cd san fernando#34#36#14#8#12#51#45#+ 6
7#ad plus ultra#34#36#13#10#11#55#53#+ 2
8#cd eldense#34#35#14#7#13#57#68#- 11
9#cf extremadura#34#35#15#5#14#51#63#- 12
10#cádiz cf#34#35#14#7#13#46#61#- 15
11#córdoba cf#34#35#14#7#13#57#60#- 3
12#cd badajoz#34#35#14#7#13#57#52#+ 5
13#atlético ceuta#34#33#13#7#14#43#48#- 5
14#cd málaga#34#32#13#6#15#58#54#+ 4
15#recreativo de huelva#34#32#13#6#15#49#53#- 4
16#jerez cd#34#32#12#8#14#50#46#+ 4
17#alicante cf#34#23#9#5#20#42#64#- 22
18#cd alcoyano#34#22#9#4#21#54#80#- 26
