date#visitor#score#home#leading scorer#record
1 december 2004#76ers#72 - 105#spurs#two - way tie (24)#13 - 3
3 december 2004#pistons#77 - 80#spurs#tony parker (20)#14 - 3
4 december 2004#spurs#104 - 83#bucks#tim duncan (20)#15 - 3
6 december 2004#spurs#91 - 75#bulls#tony parker (17)#16 - 3
8 december 2004#supersonics#102 - 96#spurs#tim duncan (39)#16 - 4
9 december 2004#spurs#80 - 81#rockets#tim duncan (26)#16 - 5
11 december 2004#cavaliers#97 - 116#spurs#tim duncan (34)#17 - 5
15 december 2004#magic#91 - 94#spurs#tim duncan (24)#18 - 5
17 december 2004#spurs#83 - 67#hornets#tim duncan (19)#19 - 5
18 december 2004#warriors#85 - 104#spurs#two - way tie (21)#20 - 5
22 december 2004#spurs#87 - 93#magic#tim duncan (24)#20 - 6
23 december 2004#timberwolves#79 - 94#spurs#manu ginóbili (22)#21 - 6
26 december 2004#celtics#90 - 107#spurs#tony parker (27)#22 - 6
28 december 2004#suns#94 - 115#spurs#tony parker (29)#23 - 6
30 december 2004#spurs#114 - 80#trail blazers#tim duncan (19)#24 - 6
31 december 2004#spurs#98 - 79#clippers#tim duncan (23)#25 - 6
