date#home team#score#away team#venue
april 28 , 1996#los angeles#2–1#san jose#rose bowl
may 12 , 1996#san jose#1–2#los angeles#spartan stadium
september 1 , 1996#san jose#1–1 (1–3 pen. )#los angeles#spartan stadium
september 15 , 1996#los angeles#4–2#san jose#rose bowl
april 12 , 1997#san jose#4–1#los angeles#spartan stadium
may 18 , 1997#los angeles#1–1 (la pen. )#san jose#rose bowl
august 17 , 1997#los angeles#2–3#san jose#rose bowl
september 21 , 1997#san jose#2–3#los angeles#spartan stadium
march 21 , 1998#los angeles#3–3 (3–1 pen. )#san jose#rose bowl
june 27 , 1998#san jose#1–2#los angeles#spartan stadium
september 16 , 1998#san jose#0–0 (la pen. )#los angeles#spartan stadium
september 20 , 1998#los angeles#0–1#san jose#spartan stadium
april 3 , 1999#san jose#1–1 (4–2 pen. )#los angeles#spartan stadium
april 24 , 1999#los angeles#0–1#san jose#rose bowl
august 7 , 1999#san jose#1–4#los angeles#spartan stadium
september 1 , 1999#los angeles#3–1#san jose#rose bowl
may 17 , 2000#san jose#0–0#los angeles#spartan stadium
may 27 , 2000#los angeles#1–1#san jose#rose bowl
august 26 , 2000#san jose#0–3#los angeles#spartan stadium
august 30 , 2000#los angeles#2–1#san jose#rose bowl
april 7 , 2001#los angeles#2–3#san jose#rose bowl
june 9 , 2001#san jose#3–1#los angeles#spartan stadium
july 4 , 2002#los angeles#2–1#san jose#rose bowl
july 7 , 2002#san jose#1–0#los angeles#spartan stadium
september 14 , 2002#los angeles#1–0#san jose#rose bowl
september 21 , 2002#san jose#0–1#los angeles#spartan stadium
april 26 , 2003#san jose#1–0#los angeles#spartan stadium
june 18 , 2003#los angeles#1–1#san jose#the home depot center
october 18 , 2003#los angeles#3–0#san jose#the home depot center
october 25 , 2003#san jose#1–1#los angeles#spartan stadium
may 22 , 2004#san jose#4–2#los angeles#spartan stadium
july 4 , 2004#los angeles#2–1#san jose#the home depot center
september 11 , 2004#los angeles#2–1#san jose#the home depot center
september 25 , 2004#san jose#0–0#los angeles#spartan stadium
may 21 , 2005#los angeles#2–1#san jose#the home depot center
june 25 , 2005#san jose#3–0#los angeles#spartan stadium
august 27 , 2005#san jose#2–1#los angeles#spartan stadium
october 15 , 2005#los angeles#1–3#san jose#the home depot center
april 3 , 2008#los angeles#2–0#san jose#the home depot center
june 14 , 2008#san jose#0–3#los angeles#o.co coliseum
august 3 , 2008#san jose#3–2#los angeles#o.co coliseum
april 18 , 2009#san jose#1–1#los angeles#o.co coliseum
june 20 , 2009#san jose#2–1#los angeles#o.co coliseum
october 24 , 2009#los angeles#2–0#san jose#the home depot center
july 22 , 2010#los angeles#2–2#san jose#the home depot center
august 21 , 2010#san jose#1–0#los angeles#buck shaw stadium
june 25 , 2011#san jose#0–0#los angeles#buck shaw stadium
august 20 , 2011#los angeles#2–0#san jose#the home depot center
may 23 , 2012#los angeles#2–3#san jose#the home depot center
june 30 , 2012#san jose#4–3#los angeles#stanford stadium
october 21 , 2012#san jose#2–2#los angeles#buck shaw stadium
june 29 , 2013#san jose#3–2#los angeles#stanford stadium
august 31 , 2013#los angeles#3 - 0#san jose#stubhub center
october 20 , 2013#los angeles#0 - 0#san jose#stubhub center
