name#latitude#longitude#diameter (km)#year named
agrona linea#40.0n#280.0e#2300.0#2006
antiope linea#40.0s#350.0e#0.0#1982
badb linea#14.0n#15.0e#1750.0#1997
breksta linea#35.9n#304.0e#700.0#1985
discordia linea#58.0s#246.5e#800.0#1997
guor linea#20.0n#0.0e#0.0#1982
hariasa linea#19.0n#15.0e#0.0#1982
hippolyta linea#42.0s#345.0e#0.0#1982
jokwa linea#17.0s#210.0e#2200.0#2003
kalaipahoa linea#60.5s#336.5e#2400.0#1991
kara linea#44.0s#306.0e#0.0#1982
lampedo linea#62.2n#293.0e#800.0#1982
molpadia linea#48.0s#355.0e#0.0#1982
morrigan linea#54.5s#311.0e#3200.0#1991
penardun linea#54.0s#344.0e#975.0#1991
sarykyz linea#77.3s#200.0e#370.0#1997
sui - ur linea#61.0s#260.0e#700.0#1997
thaukhud linea#24.0s#232.0e#900.0#2003
veleda linea#10.0s#213.0e#1350.0#2003
vihansa linea#54.0n#20.0e#0.0#1982
virtus linea#12.0n#21.0e#500.0#1997
