date#event#location#attendance#ppv buyrate
january 1#ufc 125: resolution#las vegas , nevada , usa#12874#270000
january 22#ufc : fight for the troops 2#killeen , texas , usa#3200#n / a
january 29#strikeforce : diaz vs. cyborg#san jose , california , usa#9059#n / a
february 5#ufc 126: silva vs. belfort#las vegas , nevada , usa#10893#725000
february 12#strikeforce / m - 1 global : fedor vs. silva#east rutherford , new jersey , usa#11287#n / a
february 25#mfc 28: supremacy#edmonton , alberta , canada#n / a#n / a
february 26#ufc 127: penn vs. fitch#sydney , australia#18186#260000
february 26#bamma 5: daley vs. shirai#manchester , england#n / a#n / a
march 3#ufc live : sanchez vs. kampmann#louisville , kentucky , usa#8319#n / a
march 5#strikeforce : feijao vs. henderson#columbus , ohio , usa#7123#n / a
march 5#bellator xxxv#lemoore , california , usa#n / a#n / a
march 12#bellator xxxvi#shreveport , louisiana , usa#n / a#n / a
march 19#bellator xxxvii#concho , oklahoma , usa#n / a#n / a
march 19#ufc 128: shogun vs. jones#newark , new jersey , usa#12619#445000
march 26#bellator xxxviii#tunica , mississippi , usa#n / a#n / a
march 26#ufc fight night : nogueira vs. davis#seattle , washington , usa#13741#n / a
april 2#bellator xxxix#uncasville , connecticut , usa#n / a#n / a
april 8#mfc 29: conquer#windsor , ontario , canada#n / a#n / a
april 9#bellator xl#newkirk , oklahoma , usa#n / a#n / a
april 9#strikeforce : diaz vs. daley#san diego , california , usa#n / a#n / a
april 16#bellator xli#yuma , arizona , usa#n / a#n / a
april 23#bellator xlii#concho , oklahoma , usa#n / a#n / a
april 30#ufc 129: st - pierre vs. shields#toronto , ontario , canada#55724#800000 (min) 900000 (max)
may 6#tachi palace fights 9#lemoore , california , usa#n / a#n / a
may 7#bellator xliii#newkirk , oklahoma , usa#n / a#n / a
may 14#bellator xliv#atlantic city , new jersey , usa#n / a#n / a
may 21#bellator xlv#lake charles , louisiana , usa#n / a#n / a
may 21#bamma 6: watson vs. ninja#london , england#n / a#n / a
may 29#dream : fight for japan#saitama , japan#6522#n / a
june 4#the ultimate fighter 13 finale#las vegas , nevada , usa#n / a#n / a
june 10#mfc 30: up close and personal#edmonton , alberta , canada#n / a#n / a
june 11#ufc 131: dos santos vs. carwin#vancouver , british columbia , canada#14685#325000 (min) 335000 (max)
june 18#strikeforce : overeem vs. werdum#dallas , texas , usa#n / a#n / a
june 25#bellator xlvi#hollywood , florida , usa#n / a#n / a
june 26#ufc live : kongo vs. barry#pittsburgh , pennsylvania , usa#7792#n / a
july 2#ufc 132: cruz vs. faber 2#las vegas , nevada , usa#13109#350000 (min) 375000 (max)
july 16#dream : japan gp final#tokyo , japan#8142#n / a
july 23#bellator xlvii#rama , ontario , canada#n / a#n / a
july 30#strikeforce : fedor vs. henderson#hoffman estates , illinois , usa#n / a#n / a
august 6#ufc 133: evans vs. ortiz 2#philadelphia , pennsylvania , usa#11583#n / a
august 14#ufc live : hardy vs. lytle#milwaukee , wisconsin , usa#6751#n / a
august 20#bellator xlviii#uncasville , connecticut , usa#n / a#n / a
august 27#ufc 134: silva vs. okami#rio de janeiro , brazil#n / a#n / a
september 3#one fc : champion vs. champion#kallang , singapore#n / a#n / a
september 10#strikeforce : heavyweight grand prix semifinals#cincinnati , ohio , usa#n / a#n / a
september 10#bellator xlix#atlantic city , new jersey , usa#n / a#n / a
september 10#bamma 7#birmingham , england#n / a#n / a
september 17#ufc fight night : battle on the bayou#new orleans , louisiana , usa#n / a#n / a
september 17#bellator l#hollywood , florida , usa#n / a#n / a
september 24#dream 17#saitama , japan#n / a#n / a
september 24#bellator li#canton , ohio , usa#n / a#n / a
september 24#ufc 135#denver , colorado , usa#n / a#n / a
october 1#ufc on versus 6#washington , d.c. , usa#n / a#n / a
october 1#bellator lii#lake charles , louisiana , usa#n / a#n / a
october 8#ufc 136: edgar vs. maynard iii#houston , texas , usa#n / a#n / a
october 8#bellator liii#usa#n / a#n / a
october 15#bellator liv#atlantic city , new jersey , usa#n / a#n / a
october 29#ufc 137: st - pierre vs. diaz#las vegas , nevada , usa#n / a#n / a
november 5#ufc 138: leben vs. muã±oz#birmingham , england#n / a#n / a
november 12#ufc on fox : velasquez vs. dos santos#anaheim , california , usa#n / a#n / a
november 19#bellator event#hollywood , florida , usa#n / a#n / a
december 3#the ultimate fighter 14 finale#las vegas , nevada usa#n / a#n / a
december 10#ufc 140#toronto , ontario , canada#n / a#n / a
december 31#fight for japan : genki desu ka omisoka 2011#saitama , japan#24606#n / a
