species#strain#type#base pairs#genes
acinetobacter sp#adp1#gammaproteobacteria#3598621#3325
baumannia cicadellinicola#hc#gammaproteobacteria#686194#595
blochmannia floridanus#strain#gammaproteobacteria#705557#589
blochmannia pennsylvanicus#bpen#gammaproteobacteria#791654#610
buchnera aphidicola#aps#gammaproteobacteria#640681#564
buchnera aphidicola#b#gammaproteobacteria#615980#504
buchnera aphidicola#sg#gammaproteobacteria#641454#545
carsonella ruddii#pv#gammaproteobacteria#159662#182
chromohalobacter salexigens#dsm3043#gammaproteobacteria#3696649#3298
colwellia psychrerythraea#34h#gammaproteobacteria#5373180#4910
coxiella burnetii#rsa493#gammaproteobacteria#1995281#2016
erwinia carotovora#scri1043#gammaproteobacteria#5064019#4492
escherichia coli#536#gammaproteobacteria#4938920#4685
escherichia coli#cft073#gammaproteobacteria#5231428#5379
escherichia coli#k - 12#gammaproteobacteria#4639675 (4646332)#4331 (4337)
escherichia coli#o157: h7#gammaproteobacteria#5528445 (5498450)#5349 (5361)
escherichia coli#uti89#gammaproteobacteria#5065741#5066
francisella tularensis#lvs#gammaproteobacteria#1895994#1967
francisella tularensis#schus4#gammaproteobacteria#1892819#1804
haemophilus ducreyi#3500hp#gammaproteobacteria#1698955#1717
haemophilus influenzae#86 - 028np#gammaproteobacteria#1913428#1792
haemophilus influenzae#rd#gammaproteobacteria#1830138#1709
hahella chejuensis#kctc2396#gammaproteobacteria#7215267#6782
idiomarina loihiensis#l2tr#gammaproteobacteria#2839318#2628
legionella pneumophila#lens#gammaproteobacteria#3345687#2947
legionella pneumophila#paris#gammaproteobacteria#3503610#3082
legionella pneumophila#philadelphia1#gammaproteobacteria#3397754#2942
mannheimia succiniciproducens#mbel55e#gammaproteobacteria#2314078#2384
methylococcus capsulatus#bath#gammaproteobacteria#3304561#2960
nitrosococcus oceani#atcc19707#gammaproteobacteria#3481691#2976
pasteurella multocida#pm70#gammaproteobacteria#2257487#2014
photobacterium profundum#ss9#gammaproteobacteria#4085304#3416
unspecified#unspecified#gammaproteobacteria#2237943#1997
photorhabdus luminescens#laumondiitto1#gammaproteobacteria#5688987#4905
pseudoalteromonas haloplanktis#tac125#gammaproteobacteria#3214944#2941
unspecified#unspecified#gammaproteobacteria#635328#546
pseudomonas aeruginosa#pao1#gammaproteobacteria#6264403#5566
pseudomonas entomophila#l48#gammaproteobacteria#5888780#5168
pseudomonas fluorescens#pf - 5#gammaproteobacteria#7074893#6137
pseudomonas fluorescens#pfo - 1#gammaproteobacteria#6438405#5736
pseudomonas putida#kt2440#gammaproteobacteria#6181863#5350
pseudomonas syringae#b728a#gammaproteobacteria#6093698#5136
pseudomonas syringae#dc3000#gammaproteobacteria#6397126#5470
pseudomonas syringae#phaseolicola1448a#gammaproteobacteria#5928787#4983
psychrobacter arcticum#273 - 4#gammaproteobacteria#2650701#2147
psychrobacter cryohalolentis#k5#gammaproteobacteria#~3.1 mb#2575
unspecified#unspecified#gammaproteobacteria#3059876#2467
saccharophagus degradans#feb - 40#gammaproteobacteria#5057531#4008
salmonella enterica#atcc9150#gammaproteobacteria#4585229#4093
salmonella enterica#scb67#gammaproteobacteria#4755700#4445
salmonella enterica#ty2#gammaproteobacteria#4791961#4323
salmonella enterica#typhict18#gammaproteobacteria#4809037#4600
salmonella typhimurium#lt2#gammaproteobacteria#4857432#4452
shewanella denitrificans#os217#gammaproteobacteria#4545906#3754
shewanella oneidensis#mr1#gammaproteobacteria#4969803#4630
shigella boydii#sb227#gammaproteobacteria#4519823#4142
shigella dysenteriae#sd197#gammaproteobacteria#4369232#4277
shigella flexneri#2457t#gammaproteobacteria#4599354#4073
shigella flexneri#2a301#gammaproteobacteria#4607203#4436
shigella sonnei#ss046#gammaproteobacteria#4825265#4224
sodalis glossinidius#morsitans#gammaproteobacteria#4171146#2432
thiomicrospira crunogena#xcl2#gammaproteobacteria#2427734#2192
vibrio cholerae#n16961#gammaproteobacteria#2961149 (chromosome i) 1072315 (chromosome ii)#2736 (chromosome i) 1092 (chromosome ii)
vibrio fischeri#es114#gammaproteobacteria#2906179 (chromosome i) 1332022 (chromosome ii)#2575 (chromosome i) 1172 (chromosome ii)
vibrio parahaemolyticus#rimd2210633#gammaproteobacteria#3288558 (chromosome i) 1877212 (chromosome ii)#3080 (chromosome i) 1752 (chromosome ii)
vibrio vulnificus#cmcp6#gammaproteobacteria#3281944 (chromosome i) 1844853 (chromosome ii)#2973 (chromosome i) 1565 (chromosome ii)
vibrio vulnificus#yj016#gammaproteobacteria#3354505 (chromosome i) 1857073 (chromosome ii)#3262 (chromosome i) 1697 (chromosome ii)
wigglesworthia glossinidia#strain#gammaproteobacteria#697724#611
xanthomonas axonopodis#citri306#gammaproteobacteria#5175554#4312
xanthomonas campestris#8004#gammaproteobacteria#5148708#4273
xanthomonas campestris#8510#gammaproteobacteria#5178466#4487
xanthomonas campestris#atcc33913#gammaproteobacteria#5076188#4181
xanthomonas oryzae#kacc10331#gammaproteobacteria#4941439#4637
xanthomonas oryzae#maff311018#gammaproteobacteria#4940217#4372
xylella fastidiosa#9a5c#gammaproteobacteria#2679306#2766
xylella fastidiosa#temecula1#gammaproteobacteria#2519802#2034
yersinia pestis#antiqua#gammaproteobacteria#4702289#4167
yersinia pestis#co - 92biovarorientalis#gammaproteobacteria#4653728#4008
yersinia pestis#kim#gammaproteobacteria#4600755#4090
yersinia pestis#mediaevalis#gammaproteobacteria#4595065#3895
yersinia pseudotuberculosis#ip32953#gammaproteobacteria#4744671#3974
