season#league#teams#home#away
1945 - 46#oberliga süd (i)#1. fc nuremberg - spvgg fürth#5 - 3#2 - 2
1946 - 47#oberliga süd#1. fc nuremberg - spvgg fürth#5 - 1#3 - 1
1947 - 48#oberliga süd#1. fc nuremberg - spvgg fürth#0 - 2#2 - 1
1949 - 50#oberliga süd#1. fc nuremberg - spvgg fürth#1 - 2#1 - 2
1950 - 51#oberliga süd#1. fc nuremberg - spvgg fürth#2 - 2#0 - 1
1951 - 52#oberliga süd#1. fc nuremberg - spvgg fürth#2 - 0#3 - 3
1952 - 53#oberliga süd#1. fc nuremberg - spvgg fürth#2 - 2#1 - 4
1953 - 54#oberliga süd#1. fc nuremberg - spvgg fürth#1 - 1#2 - 0
1954 - 55#oberliga süd#1. fc nuremberg - spvgg fürth#0 - 0#1 - 2
1955 - 56#oberliga süd#1. fc nuremberg - spvgg fürth#2 - 1#3 - 0
1956 - 57#oberliga süd#1. fc nuremberg - spvgg fürth#2 - 7#2 - 2
1957 - 58#oberliga süd#1. fc nuremberg - spvgg fürth#2 - 1#2 - 2
1958 - 59#oberliga süd#1. fc nuremberg - spvgg fürth#2 - 1#0 - 1
1959 - 60#oberliga süd#1. fc nuremberg - spvgg fürth#0 - 2#4 - 2
1960 - 61#oberliga süd#1. fc nuremberg - spvgg fürth#4 - 1#3 - 1
1961 - 62#oberliga süd#1. fc nuremberg - spvgg fürth#2 - 0#0 - 0
1962 - 63#oberliga süd#1. fc nuremberg - spvgg fürth#5 - 1#5 - 3
1969 - 70#regionalliga süd (ii)#1. fc nuremberg - spvgg fürth#1 - 0#4 - 0
1970 - 71#regionalliga süd#1. fc nuremberg - spvgg fürth#1 - 0#0 - 0
1971 - 72#regionalliga süd#1. fc nuremberg - spvgg fürth#1 - 0#1 - 2
1972 - 73#regionalliga süd#1. fc nuremberg - spvgg fürth#0 - 1#0 - 2
1973 - 74#regionalliga süd#1. fc nuremberg - spvgg fürth#2 - 1#1 - 0
1974 - 75#2nd bundesliga süd (ii)#1. fc nuremberg - spvgg fürth#2 - 0#2 - 3
1975 - 76#2nd bundesliga süd#1. fc nuremberg - spvgg fürth#3 - 2#3 - 2
1976 - 77#2nd bundesliga süd#1. fc nuremberg - spvgg fürth#1 - 1#2 - 0
1977 - 78#2nd bundesliga süd#1. fc nuremberg - spvgg fürth#2 - 1#2 - 0
1979 - 80#2nd bundesliga süd#1. fc nuremberg - spvgg fürth#0 - 0#4 - 1
1980 - 81#dfb - pokal#spvgg fürth - 1. fc nuremberg#1 - 1 aet#0 - 3
