year#number#team#co - driver#position#laps
1985#44#peter williamson toyota#peter williamson#dnf#32
1988#25#benson & hedges racing#tony longhurst#1st#161
1989#16#holden racing team#larry perkins#6th#158
1990#11#perkins engineering#larry perkins#3rd#161
1991#11#mobil 1 racing#larry perkins#dnf#65
1992#15#holden racing team#brad jones#15#131
1993#15#holden racing team#win percy#dnf#107
1994#05#holden racing team#peter brock#dnf#138
1995#05#holden racing team#peter brock#dnf#32
1996#05#holden racing team#peter brock#5th#160
1997#47#cdb bottle magic#john trimbole#dnf#25
1998#32#tomas mezera motorsport#alain menu#dnf#0
1999#32#tomas mezera motorsport#tony ricciardello#dnf#41
2000#21#brad jones racing#brad jones#dnf#159
2001#2#holden racing team#jason bright#dnf#126
2002#2#holden racing team#jason bright#3rd#161
2003#8#castrol perkins racing#paul dumbrell#14th#155
2004#75#toll racing#anthony tratt#18th#157
