rank#heat#lane#name#nationality#time
1#6#4#jessicah schipper#australia#57.58
2#5#4#christine magnuson#united states#57.70
2#6#3#zhou yafei#china#57.70
4#4#5#tao li#singapore#57.77
5#5#8#gabriella silva#brazil#58.00
6#5#5#elaine breeden#united states#58.06
7#4#1#ilaria bianchi#italy#58.12
8#5#1#lize - mari retief#south africa#58.20
9#6#5#inge dekker#netherlands#58.22
10#7#7#aurore mongel#france#58.30
11#5#6#natalya sutyagina#russia#58.32
12#7#4#lisbeth trickett#australia#58.37
13#6#2#eszter dara#hungary#58.39
14#7#2#alena popchanka#france#58.40
15#5#3#jeanette ottesen#denmark#58.44
16#7#5#jemma lowe#great britain#58.49
17#4#6#otylia jędrzejczak#poland#58.53
18#4#2#mandy loots#south africa#58.61
18#5#2#yuko nakanishi#japan#58.61
20#4#4#sara isakovič#slovenia#58.68
21#7#3#francesca halsall#great britain#58.70
22#6#6#irina bespalova#russia#58.92
23#6#7#yuka kato#japan#58.94
24#4#3#kateryna zubkova#ukraine#58.99
25#6#1#martina moravcová#slovakia#59.03
26#3#4#birgit koschischek#austria#59.07
27#7#6#sarah sjöström#sweden#59.08
28#4#8#audrey lacroix#canada#59:10
28#6#8#micha kathrine østergaard jensen#denmark#59.10
30#3#1#hannah wilson#hong kong#59.35
30#5#7#chantal groot#netherlands#59.35
32#2#4#triin aljand#estonia#59.43
32#7#8#xu yanwei#china#59.43
34#4#7#daynara de paula#brazil#59.45
35#3#6#sara oliveira#portugal#59.48
36#3#5#anna gostomelsky#israel#59.50
37#3#2#ingvild snildal#norway#59.86
38#3#7#carolina colorado#colombia#1:00.06
39#7#1#daniela samulski#germany#1:00.37
40#2#5#choi hye - ra#south korea#1:00.65
41#3#3#eirini kavarnou#greece#1:00.74
42#3#8#heather brand#zimbabwe#1:01.39
43#2#6#yang chin - kuei#chinese taipei#1:01.60
44#2#3#iris rosenberger#turkey#1:01.67
45#2#2#natalia hadjiloizou#cyprus#1:01.80
46#2#7#emilia pikkarainen#finland#1:02.31
47#1#5#binta zahra diop#senegal#1:04.26
48#1#4#antonella scanavino#uruguay#1:04.28
49#1#3#simona muccioli#san marino#1:04.91
