period#team#player#penalty#time
1st#det#pavel datsyuk#hooking#0:37
1st#det#red wings bench (served by jiri hudler )#too many men#2:06
1st#chi#ben eager#slashing#4:52
1st#chi#dustin byfuglien#roughing#7:53
1st#det#brett lebda#delay of game#11:27
1st#det#andreas lilja#roughing#13:01
2nd#det#marian hossa#goaltender interference#4:28
2nd#chi#jonathan toews#high - sticking#4:35
2nd#chi#brian campbell#tripping#10:42
3rd#chi#james wisniewski#holding#2:20
3rd#det#valtteri filppula#holding#19:07
