club#played#won#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
club#played#won#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
skewen rfc#22#21#0#1#680#183#96#13#12#1#97
tondu rfc#22#19#1#2#618#243#83#24#13#1#92
kenfig hill rfc#22#16#0#6#654#321#92#33#11#2#77
glynneath rfc#22#15#1#6#593#229#78#23#10#2#74
seven sisters rfc#22#12#0#10#444#377#54#41#4#3#55
ystalyfera rfc#22#11#0#11#401#537#42#74#4#3#51
bryncoch rfc#22#9#0#13#418#582#46#80#4#1#41
nantyffyllon rfc#22#8#0#14#254#505#31#63#1#2#35
cwmavon rfc#22#6#1#15#338#483#43#61#3#5#34
brynamman rfc#22#5#1#16#349#642#37#93#3#6#31
briton ferry rfc#22#5#0#17#289#496#34#59#3#3#26
maesteg harlequins rfc#22#3#0#19#264#704#30#102#3#3#18
