res#record#opponent#method#event#round#time#location
win#29 - 7 - 2#thomas denny#ko (punches)#ifl 11#2#0:50#illinois , united states
loss#28 - 7 - 2#renzo gracie#submission (guillotine choke)#ifl 9#1#3:37#illinois , united states
loss#28 - 6 - 2#matt lindland#tko (punches)#ufc 36#1#3:09#nevada , united states
win#28 - 5 - 2#shonie carter#ko (head kick)#ufc 32#2#2:42#new jersey , united states
loss#27 - 5 - 2#carlos newton#submission (bulldog choke)#ufc 31#3#2:50#new jersey , united states
win#27 - 4 - 2#kenichi yamamoto#submission (guillotine choke)#ufc 29#2#1:58#tokyo , japan
loss#26 - 4 - 2#kiyoshi tamura#decision (majority)#rings : millennium combine 3#2#5:00#yokohama , japan
win#26 - 3 - 2#john alessio#submission (armbar)#ufc 26#2#1:43#iowa , united states
loss#25 - 3 - 2#josé landi - jons#tko (corner stoppage)#wef 8#1#8:00#georgia , united states
win#25 - 2 - 2#shonie carter#decision (unanimous)#ec 27#1#20:00#iowa , united states
win#24 - 2 - 2#andré pederneiras#tko (cut)#ufc 21#2#2:20#iowa , united states
win#23 - 2 - 2#clayton miller#submission (triangle choke)#cc 2#1#0:40#iowa , united states
loss#22 - 2 - 2#jutaro nakao#submission (triangle choke)#sb 11#1#9:22#hawaii , united states
win#22 - 1 - 2#jorge patino#decision (unanimous)#ufc 18#1#21:00#louisiana , united states
win#21 - 1 - 2#mikey burnett#decision (split)#ufc 17.5#1#21:00#sao paulo , brazil
draw#20 - 1 - 2#dan severn#draw#ec 20#1#20:00#iowa , united states
win#20 - 1 - 1#al buck jr#submission (choke)#wef 5#2#2:49#iowa , united states
win#19 - 1 - 1#chris brennan#submission (shoulder choke)#ufc 16#1#9:02#louisiana , united states
win#18 - 1 - 1#townsend saunders#decision (split)#ufc 16#1#15:00#louisiana , united states
win#17 - 1 - 1#chris brennan#decision (unanimous)#ec 12#1#10:00#iowa , united states
draw#16 - 1 - 1#chris brennan#draw (majority)#ec 9#1#20:00#iowa , united states
win#16 - 1#chuck kim#submission (rear - naked choke)#ec 7#1#10:46#iowa , united states
loss#15 - 1#matt hume#tko (doctor stoppage)#ec 4#1#5:00#iowa , united states
win#15 - 0#chad cox#submission (punch)#ec 3#1#1:84#iowa , united states
win#14 - 0#paul kimbrel#submission (armbar)#ec 2#1#5:13#iowa , united states
win#13 - 0#jason nicholson#decision (unanimous)#sb 3#1#15:00#hawaii , united states
win#12 - 0#earl loucks#submission (keylock)#ec 1#1#7:00#iowa , united states
win#11 - 0#pat assalone#submission (armbar)#sb 1#1#4:01#iowa , united states
win#10 - 0#matt andersen#submission (punches)#wef 3#1#5:21#iowa , united states
win#9 - 0#yasunori matsumoto#tko (doctor stoppage)#wef 2#1#15:53#illinois , united states
win#8 - 0#andrey dudko#submission (rear - naked choke)#bm 2#1#2:49#illinois , united states
win#7 - 0#bob gholson#ko (punches)#bm 2#1#2:20#illinois , united states
win#6 - 0#rick graveson#submission (rear - naked choke)#bm 2#1#0:46#illinois , united states
win#5 - 0#rick graveson#submission (rear - naked choke)#wef 1#1#1:53#illinois , united states
win#4 - 0#ed mclennan#submission (armbar)#wef 1#1#1:28#illinois , united states
win#3 - 0#kevin marino#submission (rear - naked choke)#bm 1#1#3:49#illinois , united states
win#2 - 0#angelo rivera#submission (rear - naked choke)#bm 1#1#1:40#illinois , united states
win#1 - 0#yasunori matsumoto#submission (rear - naked choke)#bm 1#1#7:40#illinois , united states
